paragraph,predict_label
Nogales MexicoWe are investing approximately 1 million to install 1050 solar panels over the employee parking lot at our Nogales Mexico facility This installation will reduce CO2 emissions by 404 tonnes annually and will support 8 of our energy needs at the site The carbon offset is equivalent to planting more than 6500 treesBarge ItalyToday our facility in Barge boasts two photovoltaic systems which are described below and we recently approved the construction of a third system As a result of these investments in 2023 the total installed capacity of our photovoltaic systems will be 1065 kWp which will reduce the sites dependence on external energy supply by 9The Solar Lake We invested 25 million to construct a solar lake that consists of approximately 3000 solar panelsabout the size of four Olympicsized swimming pools The installation will support approximately 30 of energy demand at the innovation center The lake is expected to reduce CO2 emissions by 3728 tonnes per year equivalent to the CO2 emissions generated by about 42000 gallons of gas The project is expected to be completed by the end of 2022The Production Plant Rooftop We are investing approximately 16 million to install about 2000 solar panels to cover the rooftop of our Motion Technologies production plant The installation will reduce CO2 emissions by 284 tonnes annually and will support approximately 2 of the production plants energy needs This carbon reduction is equivalent to planting approximately 5000 treesOudBeijerland NetherlandsWe are investing approximately 16 million for solar panels at our KONI facility in OudBeijerland Netherlands This project will consist of approximately 4250 solar panels installed on the facility roof This installation will generate 1600 kwh of electricity and support 55 of the sites energy needs This will reduce CO2 emissions by 460 tonnes annually equivalent to planting more than,21
ITT uses both direct energy sources eg natural gas and indirect sources eg purchased electricity,24
Natural gas is the largest portion of our direct energy usage Our indirect energy sources include,24
Thanks to increased utilization of renewable energy sources and the environmental benefits of,24
Guarantees of Origin in 2021 total GHG emissions decreased 32 versus 2019 despite increased,25
industrial activity corresponding with a recovery to prepandemic production volumes,24
As part of the Barge Italy pilot program mentioned earlier we increased the scope and rigor in the,12
collection of indirect emissions to include imported thermal and cooling energy which we captured in,24
previous years Our enhanced procedures provided a more accurate representation of our GHG emissions,25
from 2019 which we used as the basis for our 2026 targets We believe that the data and analysis in the,12
2022 pilot will provide a better foundation upon which we will continually measure our progress The Adjustments to each year are reflected in the table to the right,12
Limiting the use of materials in our processes minimizes hazardous and nonhazardous waste and,19
also reduces costs After a 23 reduction in 2020 waste to landfill disposal increased in 2021 due,19
primarily to the significant increase in production volumes coinciding with the emergence from the global pandemic However the waste to landfill disposal was still 13 lower than 2019 prior to the pandemic,19
Waste to Landfill Metric tons of landfill waste,19
ITT uses water for potable supply cleaning activities limited process operations and some cooling and,20
testing applications Our sites employ a variety of methods to reduce water consumption including,20
Our controls plant invested in a closedloop system with water cooling capabilities for endurance testing of,20
recycling and reusing water installing innovative water treatment technology and updating water,20
various Enidine products including elastomeric bearings used in helicopter rotors The testing requires water,20
Our water consumption increased in 2021 due to,20
flushing of fire suppression systems at our Seneca,5
Falls site a onetime leak in underground piping at,5
our Termoli Italy facility and other increases across,12
Our valves plant installed a closed loop water filtration,20
system which reduces water usage by 61 and saves,20
800000 gallons of water annually Thats the equivalent,20
to almost seven years of water consumption for a,20
family of four in the US It also eliminates wastewater,20
within a certain temperature range and the cooling system enables us to reuse the water for subsequent,24
phases of testing We anticipate that installing this new closedloop system will eliminate the use and,15
discharge of an estimated 75 million gallons of water per year,20
ITTs commitment to operational excellence demands we maintain strict quality management programs to,12
meet both our customer and regulatory requirements Around the world our manufacturing facilities comply with,12
a wide range of externally audited standards demonstrated in the table below,0
ISO 9001 International standard for generic quality management system ISO 14001 International standard for environmental management ISO 45001 International standard for occupational health and safety management,9
IATF 16949 International standard for quality management system in the automotive industry ISOTS 22163 International standard for quality management system in the railway industry AS9100 International standard for,14
quality management system in the aerospace industry ATEX 2014 International standard for protective precautions at sites with potentially explosive atmospheres NADCAP US standard for suppliers with proper processes,5
in place for aerospace and defense industry ISO 13485 International standard for quality management system in the medical devices industry NSFANSI Drinking Water System ComponentsHealth Effects is an American National,20
Standard that establishes minimum healtheffects requirements for the chemical contaminants and impurities that are indirectly imparted to drinking water from products components and materials used in drinking water systems,19
At ITT we recognize that sustainable performance and growth are made possible only through the efforts of our dynamic diverse team of nearly 10000 ITTers Given this one of our most important commitments as a company is to create an engaging inspiring place to work and drive actions which enable every individuals full potential and performance This means putting ITTers safety and wellbeing first in everything we do investing in meaningful career development and prioritizing efforts to build a diverse equitable and inclusive workplace where innovation thrives and everyone is encouraged to achieve their aspirations Our actions also extend to the communities where we operate and find opportunities to serve and support,8
To drive these efforts successfully we foster an environment of accountability continual progress and betterment Since the publication of our first Sustainability Report in 2019 we have conducted deeper more frequent assessments of our human capital strategies and goals listened actively to the perspectives of our ITTers and worked hard to embed our people and culture focus at every level of our organization,3
We have also taken steps to set ambitious goals and share our progress transparently Our multiyear goals highlighted in this report include building more diverse teams across ITT with broader representation of women globally 35 and in leadership roles 25 and increasing minority representation in leadership roles 25 in the US We have also been intentional about increasing the number of Black and Hispanic leaders who choose ITT knowing that this is an area of opportunity for us,8
While we are proud of the results we have achieved we also recognize there is much more for us to learn and do to accelerate our progress As we consider our Human Capital plans and actions we value the opportunity provided by this report to share highlights about where weve been where we are today and where we aim to goalways remembering that it is our higher performance culture and our talented,3
resilient team which serve as the foundation for ITTs strong sustainable success,3
The Role of ITTs Board of Directors and Leadership,7
Building a peoplecentered culture starts with our experienced and diverse Board of Directors The,8
Boards Compensation and Human Capital Committee supports our ability to meet our people and,8
culturerelated goals by overseeing and guiding on a range of areas including executive compensation,8
total rewards talent management employee experience and our diversity equity and inclusion strategies,8
Each Compensation and Human Capital Committee meeting includes a discussion of relevant data plans,12
Additionally the entire ITT board reviews leadership at ITT throughout the year and holds a dedicated,7
session annually to review succession planning for key leaders This level of Board engagement sets a,7
clear and consistent tone from the top and supports our efforts to make ITT a company where people,3
from a range of backgrounds and experiences want to grow their careers,8
ITTs diverse global leaders also play a critical role in driving our focus on people and culture This starts,8
with an expectation to demonstrate inclusive higherperformance behaviors and to be of meaningful,8
service to our people and teams Local business and enterprise actions support our goal to advance,10
plans to develop attract and retain ITT talent and leaders are also intentional about creating frequent,8
connections with ITTers their families and external experts to understand needs and ignite fresh thinking,2
The actions of our people make us who we are and are at the heart of all we accomplish Our goal is to create an inspiring culture and employee experience to attract key talent and build a strong and sustainable future for ITT For us this is an ongoing journey where high performance is never the goalour focus is on working together and continually striving for higher performance in all we do,8
The practice of ITTs ten higher performance culture principles move us towards our goal and broader purpose by serving as a strong organizational glue which guides us in what we do how we act and how we win To ensure ITTers understand these principlesand how to fully embody them through actionswe conducted a number of global workshops in 2021 and are currently embedding our principles and learnings across the company as part of our performance management development hiring rewards and other processes,3
As we further drive our higher performance culture work we will focus on demonstrating the link,8
between our culture and business strategy and key execution innovation and growth priorities That is the true power of our modelcreating an environment where all employees are engaged by purpose vision and actions for what we can achieve together,3
We recognize those who embody our higher performance principles in town halls on social media and through our annual ITT Awardsand we are proud and humbled when our external partners and investors do as well The actions that our 400 person team in Wuxi China took during the COVID19 pandemic embody our higher performance culture Their focus and dedication under the most challenging circumstances ensured consistent ontime delivery to our customers and reflected resilience and higher performance behaviors at unprecedented levels,3
Launched transgender benefits in the US enhancing genderaffirmation related services and led an inaugural,8
Global donation of over 100000 to CARE Ukrainian Humanitarian Response Fund among additional global donations to support global community health and stability,5
starts at the top Our CEO senior executives and,7
the creativity and innovation required to solve our,15
customers and some of the worlds most complex,15
to drive change Our broader leadership teams in,3
a culture of belonging that encourages ITTers to be,8
operationalizing our plans Our work to evolve our DEI,3
upstanders rather than bystanders and to drive positive,4
Launched three new employee resource groupsITT Womens Interest Network IWIN,8
Building Our Leaders and Doers BOLD Empowering People of Color and ITT Veterans Resource Group VRG,8
Redesigned and progressed the delivery of inclusiveness training across multiple sites and geographies,8
Joined the National Action Council for Minorities in Engineering Board of Directors,8
change within our company and the communities in,10
which we operate While we are proud of our progress,10
so far we recognize that there is more to be done and,12
we are committed to continuing our journey to building,10
Philanthropy investing in communities with a focus on those unrepresented and underserved,2
People building diverse global teams and an equitable and inclusive culture,8
Signed the CEO Action Pledge for Diversity Inclusion,8
Overall Workforce Overall workforce by Gender by gender,8
US Workforce US Workforce by Race by Race,8
Established and communicated a robust set of DEI goals,12
Built new partnership with the National Action Council for Minorities in Engineering NACME,8
Significantly expanded our strategy for outreach and community impact supported by,10
Relaunched our Employee First Funda hardship relief fund for ITT employees,9
Initiated a comprehensive global DEI assessment and developed our initial fiveyear strategy and action plan,12
First publication of ITT diversity data in 2019 Sustainability Report,8
Implemented ITTs multiyear diverse supply chain purchasing strategy,17
Launched ITTs She Solves It program honoring Women in Engineering,11
67 67 Asian Asian 127 Hispanic or Latino,8
127 127 Hispanic or Hispanic or Latino Latino 56 56 56 Black or African Black or African Black or African American American American,8
ITT aspires to be recognized as an industry leader for diversity equity and inclusion through the,8
empowerment and advancement of top talent and underrepresented groups everywhere we operate,8
We have taken actions and made progress towards our goal of creating an equitable and inclusive,10
workforce These actions include establishing a set of 2026 goals aligned with our People Philanthropy,10
and Purchasing pillars Through a datadriven approach we are building programs to track and measure,12
our progress globally As we progress we will continue to be transparent in sharing our journey including,12
In 2021 we launched several phases of a global inclusiveness training for our people managers Through,8
the training our leaders explored how biases impact business decisions perceptions and interactions,0
within teams We intend to complete the training for our leadership in 2023 and subsequently deploy it to,8
all employees Additionally all employees must participate in antiharassment training regularly which,11
Triple our philanthropic efforts to empower and serve underrepresented populations,2
Women in leadership roles globally Director and Above,8
Black and Hispanic talent in US based leadership roles Director and Above,8
People of color talent in US based leadership roles Director and Above,8
Our employee resource groups ERGs help foster an inclusive culture of belonging for women people of color and veterans Each ERG plays a crucial role in ensuring fair and equitable opportunities and promoting purpose and accountability throughout the company and we plan to expand these communities over the next few years,8
Our BOLDEmpowering People of Color ITT Womens Interest Network and Veterans ERGs align with ITTs longterm vision for inclusion ITT ERGs center around four strategic pillarsTalent Community Business and Workplaceand receive support from an ITT Leadership Team executive sponsor,8
Our ERGs lead Days of Understanding through engaging panel discussions to help educate members and allies on important societal topics By recognizing holiday observances and engaging in mentoring programs our ERGs partner with internal stakeholders to provide insights on recruitment and retention to help drive change within the organization,8
Our Employee Resource Groups Support Four Strategic Areas Talent Community Business Workplace,8
As a global company ITT continually seeks new opportunities,3
such as Beyond Borders a vocational training course for Afghan,8
to further develop and strengthen our external partnerships to,3
refugees led by our team in Barge Italy We are continuing to build,12
on the success of our Give Me Five initiative and global She Solves It,2
In partnership with TENT a global nonprofit organization with a network of over 250 major companies committed to integrating refugees into their host communities we launched our ITT Mentorship programs in Barge Italy and OudBeijerland Netherlands ITTers volunteer as mentors to support more than 50 refugee women with their professional development career goals and integration into the workforce,8
In the US we expanded our partnership with the National Action,10
Council for Minorities in Engineering NACME in 2021 by joining,8
its Board of Directors and doubling the internship and scholarship,8
opportunities for students through our Bridge internship program,8
In addition our Womens Interest Network continues to partner,4
with the US National Womens Hall of Fame and the Women in,8
Lastly in 2019 we implemented our diverse purchasing strategy with a multiyear plan to expand our supplier diversity strategy to,8
opportunities and partnerships As part of this strategys first,3
phase we completed a full assessment and identified actions to,12
Our She Solves It campaign celebrates women in engineering and,11
Since accelerating these efforts in 2020 we are on track to more,12
than double our philanthropic donations In 2021 we launched our,12
Service Leadership Day pilot an initiative that offers employees,8
paid time off to support their local communities through volunteer,10
By 2026 our goal is tohave a minimum of 5 of our US spend as,12
work In addition we have expanded our partnership with Habitat,23
certified diverse spend to enable our supplier diversity program to,8
for Humanity International by increasing global donations by 100000 and committing up to 1200 employee volunteer hours,11
be a natural extension of how ITT conducts business positively impacting local economies and ITT communitiesWe are on,10
to help battle homelessness and the affordable housing crisis,2
track tomeet our target through an ongoing expansion program,3
Globally we have also seen success in our inclusion and,8
Our leaders play an essential role in creating an engaging productive environment and navigating our business through complex global challenges We work to support leaders who are well prepared to manage through uncertainty and effectively lead ITT into the future From formal assessments training and coaching to experiential development our goal is to ensure we invest in and develop an agile resilient inclusive and accountable leadership team,3
Over the past two years we have expanded enrollment in ITTs leadership programs through our UP Academy established as a partnership with the European Center for Executive Development CEDEP Leader participation in UP Academy has grown by more than 40 over the past two years and we have seen similar growth with other developmental program opportunities such as external coaching and workshops led by key learning institutions We also review leadership development and succession plans regularly and actively coach and support to ensure development progress,8
ITT has invested in UP Academy for emerging leaders with programs including our Masters in Business Excellence MBE We developed MBE in partnership with the European Centre for Executive Development CEDEP the MBE is colocated on the INSEAD campus in Fontainebleau France Participants in this program engage in crossfunctional business teams and work together on an assigned business challenge that they ultimately present to ITTs leadership team Past projects include sourcing solutions and other improvements that ITT has adopted worldwide,3
Career Growth and Learning Providing meaningful equitable career development pathways and support helps ITTers realize their career aspirations Our development philosophy is built around a knowdo framework which includes both formal training and experiential learning Tailored learning programs coaching and mentoring elevate both technical and other skills the know while challenging wellplanned work experiences and global assignments prepare ITTers for current and future roles the do,8
Successful employee development is also supported by thoughtful plans built in partnership between employees and their managers Our development planning tools and processes ensure targeted concrete action planning and we promote continuous feedback and regular checkins,8
In 2021 despite continued travel restrictions and limitations due to COVID19 ITTers completed a number of virtual and inperson trainings and certifications on topics ranging from technical to professional development We also completed the selection process to upgrade our learning management system which when fully implemented in 2022 will allow us to drive much broader learning opportunities across a complete range of developmental technical functional safety operational and ESGrelated disciplines,8
Attraction and Recruitment Bringing new people with fresh ideas and skills into our company is vital to our future and all of our teams are actively recruiting key talent across the globe We recruit experienced hires to fill critical skills and seek a broad range of expertise We have increased investments in internships across engineering finance and other disciplines to attract the best earlycareer talent Given the growing demand for talent across all industries 2021 was an especially important year for us to broaden our outreach and work on creating an engaging candidate experience,8
Our commitment to broader candidate engagement includes outreach to military personnel and veterans and participation in Service Academy Career SAC recruiting conferences which we expanded in 2021 ITT is a proud recipient of the 2022 VETS Indexes Employer Awards recognizing our overall commitment to hiring developing and supporting veterans and people in the military community,8
In 2021 we also invested heavily to enhance our candidate experience including deploying new technology globally to make our application process easier and more efficient The new technology streamlines our endtoend processes and ensures faster more candidatefriendly engagements,12
Performance Management At ITT we value meritocracy It is one of our cultural principles and our performance management approach sets a high bar on objectivity credibility and transparency We promote broad continuous stakeholder feedback realtime recognition and performance evaluations that hold our workforce and leaders accountable for behaviors that reflect our higher performance culture principles In addition to quarterly enterprise talent reviews we lead a yearend enterprise performance review in which ITTs full leadership team participates This review serves as a checkin on performance evaluations to ensure we are holding ourselves,0
accountable for completing inclusive fair fact based and just assessments of our people and that we are aligned on how our higher performance culture performs across our teams businesses and regions,8
Engagement and Recognition Employee engagement is critical to performance retention and longterm business success We value the perspectives of our employees and conduct leader roundtables and individual stay interviews We have shifted intentionally to driving local employee surveys throughout the year to better target and understand site and individual dimensions of engagement across our workforce Quarterly town halls include opportunities to address employee feedback on a range of topics,8
In 2021 we revised our employee exit survey and began taking a more granular look at our attrition data by site and demographics We continue to use this information to supplement our understanding,8
of what drives retention and engagement across our teams and to take needed action,8
