paragraph,predict_label,count,different,empty,diff rate,empty rate
governments and nonprofit clients Corporate Client Banking covers large,12,26,diff,empty,,
and Washington DC with 271025 employees in 62 countries worldwide and,8,26,diff,empty,,
mortgages and home equity loans Card Auto issues credit cards to consumers,12,6,diff,,,
corporations Commercial Real Estate Banking covers investors developers and,12,26,diff,empty,,
37 trillion in assets as of December 31 2021 The Firm is a leader in investment,18,26,diff,empty,,
and small businesses and originates and services auto loans and leases,12,26,diff,empty,,
owners of multifamily office retail industrial and affordable housing properties,2,26,diff,empty,,
banking financial services for consumers and small businesses commercial,12,26,diff,empty,,
banking financial transaction processing and asset management Under the,4,11,diff,,,
JP Morgan and Chase brands the Firm serves millions of customers predominantly,4,26,diff,empty,,
in the US and many of the worlds most prominent corporate institutional and,18,26,diff,empty,,
JPMorgan Chases activities are organized for management reporting purposes,12,11,diff,,,
into four major reportable business segments as well as a Corporate segment The,3,26,diff,empty,,
Firms consumer business is the Consumer Community Banking CCB segment,6,10,diff,,,
The Firms wholesale business segments are the Corporate Investment Bank,4,26,diff,empty,,
CIB Commercial Banking CB and Asset Wealth Management AWM The,18,11,diff,,,
business segments are referred to as lines of business For further information,3,26,diff,empty,,
refer to Business Segment Results on pages 6181 of our Form 10K for the year,3,26,diff,empty,,
CIB offers a broad suite of investment banking marketmaking prime brokerage and,4,26,diff,empty,,
Asset Management offers multiasset investment management solutions across,4,11,diff,,,
treasury and securities products and services to a global client base of corporations,12,26,diff,empty,,
equities fixed income alternatives and money market funds to institutional and,4,26,diff,empty,,
investors financial institutions merchants and government and municipal entities,12,26,diff,empty,,
retail investors providing for a broad range of clients investment needs The Global,12,26,diff,empty,,
Banking offers a full range of investment banking products and services in all major,15,26,diff,empty,,
Private Bank provides retirement products and services brokerage custody trusts,12,26,diff,empty,,
capital markets including advising on corporate strategy and structure capitalraising,3,25,diff,,,
and estates loans mortgages deposits and investment management to high net,12,11,diff,,,
in equity and debt markets as well as loan origination and syndication Banking also,12,6,diff,,,
worth clients The majority of AWMs client assets are in actively managed portfolios,18,26,diff,empty,,
includes Payments which provides payments services enabling clients to manage,0,26,diff,empty,,
payments and receipts globally and crossborder financing Markets Securities,12,25,diff,,,
Services includes Markets a global marketmaker across products including cash and,4,25,diff,,,
derivative instruments which also offers sophisticated risk management solutions,18,11,diff,,,
The Corporate segment consists of Treasury and Chief Investment Office CIO and,12,26,diff,empty,,
prime brokerage and research Markets Securities Services also includes Securities,4,4,,,,
Other Corporate which includes corporate staff functions and expense that is,7,26,diff,empty,,
CCB offers services to consumers and businesses through bank branches ATMs,12,26,diff,empty,,
digital including mobile and online and telephone banking CCB is organized into,1,26,diff,empty,,
Services a leading global custodian which provides custody fund accounting and,12,25,diff,,,
administration and securities lending products principally for asset managers,12,26,diff,empty,,
insurance companies and public and private investment funds,12,18,diff,,,
Consumer Business Banking including Consumer Banking JP Morgan Wealth,18,26,diff,empty,,
Management and Business Banking Home Lending including Home Lending,18,11,diff,,,
Production Home Lending Servicing and Real Estate Portfolios Card Auto,4,26,diff,empty,,
Consumer Business Banking offers deposit investment and lending products,12,26,diff,empty,,
payments and services to consumers and lending deposit and cash management,12,11,diff,,,
CB provides comprehensive financial solutions including lending payments,12,26,diff,empty,,
investment banking and asset management products across three primary client,15,11,diff,,,
segments Middle Market Banking Corporate Client Banking and Commercial Real,4,26,diff,empty,,
centrally managed Treasury and CIO is predominantly responsible for measuring,12,26,diff,empty,,
monitoring reporting and managing the Firms liquidity funding capital structural,18,21,diff,,,
interest rate and foreign exchange risks The major Other Corporate functions,18,26,diff,empty,,
include Real Estate Technology Legal Corporate Finance Human Resources,8,10,diff,,,
Internal Audit Risk Management Compliance Control Management Corporate,0,12,diff,,,
Responsibility and various Other Corporate groups,10,0,diff,,,
Information about JPMorgan Chases financial performance is available in our,18,8,diff,,,
quarterly earnings materials as well as quarterly and annual reports on Form 10Q,12,26,diff,empty,,
We strive to operate a thriving company that we can be proud of and to support a sustainable and inclusive economy,10,26,diff,empty,,
Fulfilling these goals rests on staying true to our core business principles delivering exceptional client service,3,6,diff,,,
operational excellence fairness and responsibility a commitment to integrity and building a great team and winning,0,0,,,,
culture Doing all of this well is the underpinning of our Firms longterm success and therefore of our ability to,3,8,diff,,,
continue to deliver for all our stakeholders customers and clients employees community and shareholders Our,10,10,,,,
Business Principles are described below,0,26,diff,empty,,
1 Focus on the customer,15,26,diff,empty,,
4 Set the highest standards of performance,14,8,diff,,,
2 Be field and client driven and operate at the,4,26,diff,empty,,
5 Demand financial rigor and risk discipline We will,0,4,diff,,,
A commitment to integrity fairness and responsibility,0,0,,,,
11 Do not compromise our integrity,0,0,,,,
always maintain a fortress balance sheet,4,26,diff,empty,,
A great team and winning culture,8,8,,,,
16 Hire train and retain great diverse employees,8,26,diff,empty,,
17 Build teamwork loyalty and morale,10,26,diff,empty,,
18 Maintain an open entrepreneurial meritocracy,4,26,diff,empty,,
3 Build worldclass franchises investing for the,4,26,diff,empty,,
6 Strive for the best internal governance and controls,0,0,,,,
long term to serve our clients,2,26,diff,empty,,
7 Act and think like owners and partners,4,26,diff,empty,,
14 Foster an environment of respect inclusiveness,8,26,diff,empty,,
19 Communicate honestly clearly and consistently,0,26,diff,empty,,
8 Strive to build and maintain the best most efficient,24,26,diff,empty,,
20 Strive to be good leaders,10,26,diff,empty,,
15 Help strengthen the communities in which we,10,26,diff,empty,,
9 Be disciplined in everything we do,0,26,diff,empty,,
10 Execute with both skill and urgency,0,26,diff,empty,,
The finance sector has an important role to play in helping to,12,25,diff,,,
address some of the most pressing environmental and social,10,9,diff,,,
DRIVING AN INCLUSIVE AND SUSTAINABLE ECONOMY FOR ALL OUR FIRMWIDE PILLARS,8,26,diff,empty,,
challenges of our time targeted capital is vital to seed fund,3,26,diff,empty,,
and scale solutions whether helping address the racial wealth,8,26,diff,empty,,
gap or advancing solutions and innovations needed for the,15,26,diff,empty,,
lowcarbon transition We believe the scale and reach of our,25,26,diff,empty,,
business and our approach to Environmental Social and,10,9,diff,,,
Governance ESG matters helps drive this progress and,12,0,diff,,,
contributes to a more sustainable and inclusive economy,8,26,diff,empty,,
Building off the foundation of our Business Principles we are,3,26,diff,empty,,
leveraging our expertise capital data and resources to,3,22,diff,,,
carbon economy ESG matters are an important consideration,18,21,diff,,,
advance inclusive growth and support the transition to a low,8,4,diff,,,
in how we do business including how we develop our,3,26,diff,empty,,
products and services serve our customers support our,15,26,diff,empty,,
employees and help lift our communities Our Sustainable,10,26,diff,empty,,
Development Target which we set in 2021 puts these,12,4,diff,,,
objectives into practice financing and facilitating more,12,26,diff,empty,,
than 25 trillion over 10 years to help address climate change,13,25,diff,,,
and contribute to sustainable development see page 6 As,23,4,diff,,,
does our 30 billion Racial Equity Commitment announced in,8,6,diff,,,
2020 which aims to advance racial equity and promote,8,6,diff,,,
inclusive growth see page 21,8,4,diff,,,
Financial Health and Wealth Creation,18,6,diff,,,
Our Firm communicates information about our ESG practices and performance through a number of channels,3,8,diff,,,
including our Annual Report and Proxy Statement various other reports and presentations regulatory filings press,12,7,diff,,,
releases and direct conversations with stakeholders We maintain a dedicated ESG Information page on our website to,3,26,diff,empty,,
facilitate access to information that we publish on these topics,2,26,diff,empty,,
This annual ESG Report is designed to consolidate and summarize our work on ESG topics that are important to our,3,26,diff,empty,,
business and stakeholders and guide readers to where they can access more detailed information about specific topics,12,26,diff,empty,,
of interest All data in this report are as of December 31 2021 unless otherwise noted,12,22,diff,,,
This ESG Report has also been informed by the Global Reporting Initiative GRI including the GRI Universal Standards,12,11,diff,,,
released in 2021 and relevant Sector Standards and the Sustainability Accounting Standards Board SASB reporting,12,11,diff,,,
standards Our ESG Report Appendices see page 60 on GRI and SASB map our Firms disclosures related to these,12,11,diff,,,
frameworks indicators and recommendations In 2022 we intend to release a dedicated climate report which will be,13,25,diff,,,
informed by the recommendations of the Task Force on ClimateRelated Financial Disclosures TCFD,13,26,diff,empty,,
Our 25 Trillion Sustainable Development Target,3,4,diff,,,
The Target represents a key aspect of our Firmwide approach to ESG supporting our clients and customers through financing,3,26,diff,empty,,
activities that advance sustainable economic growth and highlights the work of other key initiatives including our efforts to,3,4,diff,,,
support the lowcarbon transition see page 12 the work of the JPM DFI see page 9 and the progress of our 30 billion Racial,25,26,diff,empty,,
Equity Commitment see page 21,8,6,diff,,,
This section explains why we developed the Target and how we are organizing to drive its implementation across our business It,3,26,diff,empty,,
also provides an update on our progress and examples of transactions completed in 2021 as well as links to additional,12,26,diff,empty,,
institution we are leveraging our capabilities and expertise to provide capital and advice that supports economic,12,26,diff,empty,,
We believe creating sustainable economic growth is important to the longterm strength and vibrancy of the global,3,4,diff,,,
economy and to the health and prosperity of people and communities around the world As a global financial,10,6,diff,,,
information within and beyond this report,12,26,diff,empty,,
Why We Created the Target,4,26,diff,empty,,
than 25 trillion over 10 years from 2021 through the end of 2030 to advance longterm solutions that address,12,26,diff,empty,,
role that the financial sector can play in mobilizing the capital needed to drive progress It expands on our prior oneyear target,3,26,diff,empty,,
growth while helping to address key global challenges That is why we have set a target to finance and facilitate more,3,4,diff,,,
The Target reflects our recognition of the need for collective action to address the worlds most important challenges and the,10,8,diff,,,
climate change and contribute to sustainable development,13,4,diff,,,
Our Sustainable Development Target the Target aims to grow and strengthen our business activities across three,3,4,diff,,,
200 billion to support climate action and sustainable development in 2020 to a new 10year target that extends through,13,4,diff,,,
the end of 2030 which corresponds with the timeframe we set to meet our initial emission intensity reduction targets within our,21,19,diff,,,
financing portfolio see page 12 as well as the current timeframe set by the United Nations for achieving the SDGs,12,26,diff,empty,,
By drawing awareness to the work happening across the Firm to advance sustainable development the Target is designed to,10,4,diff,,,
mobilize our efforts and sharpen our focus on key areas that contribute towards solutions for the worlds toughest challenges,18,26,diff,empty,,
solutions for cleaner sources of,15,26,diff,empty,,
We are working to bolster inclusive,8,11,diff,,,
growth by supporting areas such as,3,4,diff,,,
Our goal is to facilitate 1 trillion,12,26,diff,empty,,
in this area alone through a,2,26,diff,empty,,
works to assess the anticipated,12,26,diff,empty,,
health care with a focus on lowto,2,6,diff,,,
transactions with the goal of,4,26,diff,empty,,
and communities as well as Black,8,26,diff,empty,,
Hispanic and Latino individuals and,8,26,diff,empty,,
communities This includes many of,10,26,diff,empty,,
the actions we are taking as part of,10,26,diff,empty,,
our fiveyear 30 billion Racial,8,26,diff,empty,,
EVOLUTION OF OUR SUSTAINABLE DEVELOPMENT TARGET,3,4,diff,,,
The Target builds on our history of fulfilled commitments to support climate action and sustainability,13,0,diff,,,
2017 Facilitate 200 billion in clean financing by 20251,12,26,diff,empty,,
2020 Finance and facilitate 200 billion for climate action and sustainable development in 2020 2,13,25,diff,,,
2021 Finance and facilitate more than 25 trillion for climate action and sustainable development over 10 years by the end of 2030,13,25,diff,,,
2 Achieved in 2020 by financing over 220 billion in transactions including more than 55 billion toward green initiatives,12,26,diff,empty,,
How We Developed the Target,4,26,diff,empty,,
In setting the Target we took into account the Firms breadth scope and geographic reach,3,26,diff,empty,,
In 2021 our Firm financed and facilitated approximately 285 billion towards the Target Across our three objectives 41 went towards,12,26,diff,empty,,
spanning the globe and encompassing activities across both our retail and wholesale business,17,26,diff,empty,,
development finance 37 towards green and 22 towards community development In this section we discuss our progress in each,10,4,diff,,,
segments We prioritized areas that are important to global sustainability and inclusive growth and,3,0,diff,,,
objective through December 31 2021,12,26,diff,empty,,
where we believe our capabilities and expertise can help drive progress We also concentrated on,3,26,diff,empty,,
topics that are important to our stakeholders including customers and clients employees,10,26,diff,empty,,
communities and shareholders This led to the Targets three areas of focus each of which combines,10,26,diff,empty,,
a clear need and business opportunity that we believe our Firm is well positioned to address,3,26,diff,empty,,
In the development of the Targets criteria and methodology we also took into account international,12,4,diff,,,
best practices and industry standards such as the SDGs the International Capital Market,12,11,diff,,,
Associations Green and Social Bond Principles and the International Finance Corporations,12,10,diff,,,
Anticipated Impact Measurement and Monitoring framework,12,10,diff,,,
How We Are Driving Progress,3,26,diff,empty,,
We are mobilizing resources and expertise throughout the Firm to drive progress toward our goals,3,26,diff,empty,,
This includes deploying both new and existing teams to enhance our capabilities and realize,3,26,diff,empty,,
opportunities across our wholesale and consumer business segments as well as across other,17,26,diff,empty,,
corporate functions For example CCBs Community and Affordable Home Lending business is,2,10,diff,,,
helping expand our support for sustainable homeownership and our growing network of,2,26,diff,empty,,
Community Center branches is advancing a new model for how we support diverse entrepreneurs,8,10,diff,,,
and their communities Elsewhere we are investing in resources such as CBs Green Economy and,10,26,diff,empty,,
Community Development Banking teams CIBs ESG Solutions team and Center for Carbon Transition,3,4,diff,,,
CCT and the JPM DFI each of which play a key role in collaborating with our global network of,12,26,diff,empty,,
bankers and product specialists to deliver strategic services and facilitate financing at scale,15,26,diff,empty,,
For the Target we have established a robust governance process designed to provide accountability,12,0,diff,,,
for how we quantify and track our progress over time This includes a crosslineofbusiness and,18,26,diff,empty,,
functional group responsible for approving the quantification approach documentation and,12,26,diff,empty,,
reporting associated with transactions that contribute toward the Target Together these actions,12,26,diff,empty,,
support strategic decisionmaking within and across our businesses as we work to drive continued,3,26,diff,empty,,
Corporate Investment Bank Investment Banking 133B,4,26,diff,empty,,
Including capital raising in debt and equity markets underwriting of sustainable bonds ie green social and sustainability bonds municipal and notforprot bonds initial public offerings IPOs followon offerings FPOs private placements and advisory services including mergers and acquisitions MA,12,10,diff,,,
Corporate Investment Bank Markets 101B,4,25,diff,,,
Including certain emission contracts and investments in tax credit vehicles in alternative energy eg solar and wind projects,21,24,diff,,,
Including support for small businesses home ownership and consumer adoption of electric vehicles,15,26,diff,empty,,
Including affordable housing retrotting rehabilitating or constructing accredited energyefficient buildings eg LEED Energy Star,24,24,,,,
To learn more about our criteria for determining what business activity is eligible to count toward our Sustainable Development Target and,3,4,diff,,,
how we account for the value of transactions see Our Approach to Our Sustainable Development Target3,12,4,diff,,,
3 Our approach to measuring our progress for the Target builds off the criteria and methodology we developed for our 200 billion commitment in 2020 For the Target we made methodological adjustments from the 2020 commitment in two main areas 1 Development Finance driven by refinements in the JPM DFIs methodology as explained,12,4,diff,,,
in its latest annual report and 2 Community Development with the inclusion of small business and housingrelated loans and investments for Black Hispanic and Latino individuals and communities largely consistent with our Racial Equity Commitment,8,8,,,,
By the end of 2030 we aim to finance and facilitate 1 trillion in support of the deployment of solutions for cleaner,12,25,diff,,,
sources of energy and facilitating the transition to a lowcarbon economy Our eligible business activities include,24,24,,,,
renewable energy clean technology water waste management conservation sustainable transportation green,19,20,diff,,,
In 2021 we financed and facilitated approximately 106 billion in support of our green objective particularly towards,12,26,diff,empty,,
sustainable transportation and renewable energy We supported these areas through a variety of businesses around,24,17,diff,,,
Courtesy of Vineyard Wind LLC,12,24,diff,,,
our Firm such as underwriting green bonds for corporate and sovereign issuers capital raising and advisory services,12,26,diff,empty,,
for electric vehicles EV companies and lending to emerging renewable energy companies 2021 in particular was a,24,24,,,,
Our Target in Action Powering Americas Largest Offshore Wind Farm,12,24,diff,,,
year characterized by strong market factors including recordbreaking global MA activity and significant growth of,4,4,,,,
Select Eligibility Criteria by Dollar Amount,12,26,diff,empty,,
JPMorgan Chase served as Joint Lead Arranger for more than 2 billion in financing for the 800 megawatt Vineyard,24,26,diff,empty,,
Wind project the first offshore wind farm in the United States capable of generating power at utility scale and the,24,24,,,,
countrys largest source of offshore wind power Situated off the coast of Marthas Vineyard the project is expected to,24,24,,,,
supply enough energy to serve the needs of 400000 Massachusetts households and businesses and avoid 168 million,24,24,,,,
metric tons of carbon emissions annually while contributing to efforts to transition the US power grid to cleaner,25,21,diff,,,
JPMorgan Chase provided services across our diversified business to support the development of Vineyard Wind We,3,4,diff,,,
provided Investment Banking services acting as Joint Lead Arranger and Syndication Agent for a senior secured,12,26,diff,empty,,
loan We also provided Markets products providing hedges to mitigate risk and Treasury products cash management,18,11,diff,,,
as the depository account bank6,18,26,diff,empty,,
4 Totals may not sum due to rounding,4,26,diff,empty,,
5 Mixed Use is comprised of transactions where the use of proceeds may facilitate activities across more than one eligibility criteria such as green bonds and emissions contracts,12,21,diff,,,
6 Of the various products and services JPMorgan Chase provided to support the project only the senior secured loan was counted towards the Target For the senior secured loan which,12,26,diff,empty,,
had multiple book runners only JPMorgan Chases participation is counted toward the Target,4,26,diff,empty,,
The development finance objective of the Target highlights the work of the JPM DFI which was established to spur,12,4,diff,,,
capital towards sustainable development projects such as expanded access to education financial services,2,4,diff,,,
telecommunications and health care in developing countries By assessing transactions based on their anticipated,2,6,diff,,,
environmental and socioeconomic impacts the JPM DFI seeks to expand the market for development finance and grow,10,4,diff,,,
the pool of investors interested in transactions that offer financial returns and advance the SDGs For more information,12,26,diff,empty,,
see page 45 as well as the JPM DFIs 2021 Annual Report,12,26,diff,empty,,
Courtesy of Liquid Telecommunications Financing Plc,12,26,diff,empty,,
Our Target in Action Expanding Access to Telecommunications in SubSaharan Africa,2,26,diff,empty,,
In February 2021 JPM DFI acted as the Development,12,4,diff,,,
Through the use of proceeds from the bond Liquid Telecom is,12,26,diff,empty,,
Finance Structuring Agent for a 620 million,12,25,diff,,,
anticipating to improve access to information and,2,26,diff,empty,,
In 2021 approximately 117 billion of development finance activity nearly 600 transactions was qualified towards,12,4,diff,,,
corporate bond issued by Liquid Telecom one of the,12,26,diff,empty,,
communication technology and foster financial inclusion by,8,8,,,,
Select Geographies by Number of Transactions,4,26,diff,empty,,
largest multicountry open access fiber network,1,26,diff,empty,,
operators in Africa The company operates its largely,4,26,diff,empty,,
owned fiber optic and wireless network across more,1,26,diff,empty,,
than 20 countries including Botswana Democratic,12,26,diff,empty,,
Republic of Congo Kenya Rwanda South Africa,10,26,diff,empty,,
South Sudan Tanzania Uganda Zambia and,10,26,diff,empty,,
Zimbabwe These countries have a combined,4,26,diff,empty,,
Connecting approximately 800 buildings and 5000 homes,24,26,diff,empty,,
to the Fiber to the Home FTTH network in the DRC,1,26,diff,empty,,
Doubling the capacity of the Companys FTTH network to,24,26,diff,empty,,
approximately 100000 existing homes in Kenya Rwanda,2,26,diff,empty,,
population of around 500 million people but only,8,26,diff,empty,,
Increasing coverage in Zambia and Zimbabwe by adding,12,26,diff,empty,,
23 million mobile broadband users and three million,24,26,diff,empty,,
more than 100 additional LTE sites,24,26,diff,empty,,
fixed broadband users indicating limited access to,24,26,diff,empty,,
Expanding its fiber network in the DRC to reach via service,24,6,diff,,,
telecommunication services particularly for those,24,26,diff,empty,,
providers approximately 75 of the population and,2,26,diff,empty,,
Creating employment opportunities specifically in the DRC,8,11,diff,,,
The bond issuance is expected to enable Liquid,12,26,diff,empty,,
Telecom to help address key development gaps in,10,4,diff,,,
the region and improve delivery of education,2,26,diff,empty,,
healthcare and key services to both urban and rural,2,9,diff,,,
The JPM DFI assessed the transaction and determined it,12,26,diff,empty,,
advances United Nations SDGs 8 and 9 which are associated,12,26,diff,empty,,
with promoting decent work and building resilient infrastructure,3,20,diff,,,
promoting sustainable industrialization and fostering innovation,15,3,diff,,,
7 Numbers may differ from the JPM DFIs 2021 Annual Report primarily due to overlap with some transactions advancing both the green objective and development finance,12,4,diff,,,
objective For the Target these transactions are counted only once toward the green objective,4,26,diff,empty,,
Our work in the Community Development area of our Target supports areas such as homeownership and affordable,10,4,diff,,,
housing small business education and health care with a focus on LMI and Black Hispanic and Latino individuals,8,6,diff,,,
In 2021 we reflected approximately 61 billion of financing and facilitation towards this objective,12,26,diff,empty,,
The Community Development objective also highlights our commitment to racial equity and includes many of the,8,8,,,,
activities we are engaging in as part of our fiveyear 30 billion Racial Equity Commitment By the end of 2021 we had,8,6,diff,,,
deployed or committed more than 18 billion toward our 30 billion goal Of this 18 billion more than 16 billion is,12,26,diff,empty,,
also reflected here within the Community Development objective of our Sustainable Development Target For more,10,4,diff,,,
details on our Racial Equity Commitment see page 21,8,6,diff,,,
Select Eligibility Criteria by Dollar Amount,12,26,diff,empty,,
Courtesy of Riverton Square LLC,3,26,diff,empty,,
Our Target in Action Refinancing Affordable Housing Units in New York,2,26,diff,empty,,
In June 2021 JPMorgan Chase through the Corporate Investment Bank provided 600 million of financing to AE,12,26,diff,empty,,
Real Estate to facilitate the refinancing and preservation of a portfolio of 53 rentregulated residential buildings,24,26,diff,empty,,
comprising 3531 rental units located in highcost areas throughout the Manhattan Brooklyn Queens and Bronx,24,26,diff,empty,,
boroughs of New York City,4,26,diff,empty,,
The largest single property in the portfolio is the 1229unit Riverton Square complex in East Harlem Originally,3,26,diff,empty,,
constructed in the 1940s the development provided an alternative to the many housing projects that discriminated,11,4,diff,,,
against nonWhite residents that were built in the same period As such it provided housing opportunities to,2,26,diff,empty,,
predominantly Black families and represents the storied history of the Black community in New York Riverton Square is,8,10,diff,,,
subject to a regulatory agreement to maintain 975 affordable units 79 of the property which ensures long term,12,26,diff,empty,,
affordability at the complex The agreement establishes that as leases expire on the units they remain affordable to,12,2,diff,,,
various income brackets 60 80 and 125 of area median income As of October 2021 965 of the property was,8,26,diff,empty,,
8 Totals may not sum due to rounding,4,26,diff,empty,,
9 Mixed Use is comprised of transactions where the use of proceeds may facilitate activities across more than one eligibility criteria such as social bonds,12,10,diff,,,
A healthy environment is crucial to the longterm success of the economy and of communities around the,10,26,diff,empty,,
world but climate change and other environmental challenges pose increasing threats to our collective future,13,9,diff,,,
As a global financial institution working with clients in nearly every sector of the economy we have an,18,11,diff,,,
important role to play in tackling environmental challenges Our strategy includes financing and investment,13,9,diff,,,
solutions to help accelerate the transition to a lowcarbon sustainable economy supporting our clients with,3,26,diff,empty,,
strategic advice and continuing to minimize the environmental impact of our own operations,3,9,diff,,,
Set our first portfoliolevel emissions intensity reduction targets for three sectors Oil Gas Electric Power and Auto Manufacturing and published our Carbon CompassSM methodology,21,25,diff,,,
Joined the Industryled United Nationsconvened Net Zero Banking Alliance NZBA and the Net Zero Asset Management NZAM initiative,18,11,diff,,,
Financed and facilitated 106 billion in support of the green objective of our Sustainable Development Target,23,4,diff,,,
Reduced Scope 1 and 2 greenhouse gas GHG emissions in our global operations by approximately 15,25,25,,,,
Met our goal to maintain carbon neutral,25,21,diff,,,
Issued a 125 billion green bond in August 2021,12,26,diff,empty,,
operations for the second year in a row,18,26,diff,empty,,
Advancing Climate and Sustainability Solutions,13,0,diff,,,
Developing solutions to environmental challenges such as climate change is important to protecting our planet and,13,9,diff,,,
creating longterm sustainable economic growth The financial sector has a unique role to play particularly in,18,4,diff,,,
mobilizing the capital necessary to develop new technologies and build sustainable infrastructure,12,20,diff,,,
respond to and drive new solutions to the challenges the world faces This includes working with clients to support the,3,11,diff,,,
At JPMorgan Chase we are using our capabilities to promote sustainable business practices and help our clients,3,11,diff,,,
transition to a lowcarbon economy and providing sustainable investing and financing solutions,12,26,diff,empty,,
Advancing Climate and Sustainability Solutions,13,0,diff,,,
Supporting the Transition to a LowCarbon Economy,4,26,diff,empty,,
Climate change is one of the most critical challenges facing our planet and society We are responding by minimizing,13,25,diff,,,
the carbon footprint of our own physical operations see page 17 and by leveraging our business to support and,3,24,diff,,,
accelerate the global transition to a lowcarbon economy,3,26,diff,empty,,
In recent years many governments businesses and NGOs have aligned around the collective ambition to reduce,12,11,diff,,,
OUR PATH TO NETZERO FINANCED EMISSIONS,25,21,diff,,,
A key aspect of our lowcarbon strategy is how we engage with our clients in carbonintensive industries on their transition In,3,26,diff,empty,,
2020 we pledged to align key sectors of our financing portfolio with the goals of the Paris Agreement In May 2021 we became,12,26,diff,empty,,
the first large US bank to set 2030 targets which we set as portfoliolevel emissions intensity reduction targets for the Oil,21,25,diff,,,
Gas Electric Power and Auto Manufacturing sectors and published our Carbon Compass Methodology detailing our approach,12,25,diff,,,
We also announced our plans to expand our targets to new sectors of our financing portfolio over time In October 2021 we,12,26,diff,empty,,
joined the NZBA a group convened by the United Nations Environment Programme Finance Initiative which brings together a,12,25,diff,,,
global network of banks committed to aligning their lending and investment portfolios with net zero emissions by 2050,25,21,diff,,,
While thoughtful policy technology and behavioral advancements are all prerequisites in realizing our common goals around net,12,12,,,,
zero emissions by 2050 we joined the NZBA because we support the ambition for greater climate action the sharing of best,13,25,diff,,,
practices and a collaborative approach between the public and private sectors to reach this goal We may further address,12,11,diff,,,
important details of these efforts as they develop over time including where we believe practical considerations may constrain,12,26,diff,empty,,
our work against the ambitions of the NZBA such as the necessity of technological advancements the evolution of consumer,15,26,diff,empty,,
behavior the need for thoughtful climate policies around the world the challenge of balancing shortterm targets with the need,13,25,diff,,,
to facilitate an orderly and just transition and other critical considerations such as legal and regulatory obligations,12,12,,,,
