paragraph,esg_label,count_label
building on our initial 100 million commitment in 2020we announced an additional 30 million commitment in august 2021 the funding supports efforts including the global hsi equity innovation hub expanded learning opportunities for hbcus the first apple entrepreneur camp for hispanic latin x founders and developers and funding for organizations driving criminal justice reform and environmental justice and inmay2022wecommitted25 million to expand access to capital for community financial institutions supporting communities of color in historically underserved markets across the yous,Access_And_Affordability,Human_Rights_And_Community_Relations
to celebrate global accessibility awareness day2022wep reviewed upcoming software features to offer users with disabilities new tools for navigation health communication and more apples announcement included door detection a cutting edge navigation feature for users who are blind or low vision live captions for the deaf and hard of hearing community and apple watch mirroring which helps people with physical and motor disabilities control apple watch remotely from their paired i phone,Employee_Health_And_Safety,Customer_Welfare
our community education initiative continued to grow supporting and partnering with 147 education institutions and nonprofit organizations including 47hbcusinover500 different locations across 36 states in the yous and four locations across the uk since its launch in 2019,Access_And_Affordability,Human_Rights_And_Community_Relations
we launched apple learning coach a free professional learning program that trains instructional coaches digital learning specialists and other coaching educators to help teachers effectively use apple technology in the classroom,Access_And_Affordability,None
in2021 apples employee giving program celebrated its 10th anniversary having raised nearly 725millionfor39000 organizations worldwide with over 120 million distributed to organizations around the globe in2021 alone the funds raised through apples employee giving program include the work of 68000 employees who have logged almost,Labor_Practices,Employee_Engagement_Inclusion_And_Diversity
2 million volunteer hours,Human_Rights_And_Community_Relations,None
esg priorities are managed across apple and our senior leaders play an important role in integrating esg into functions across the company we listen to stakeholders including our people suppliers communities shareholders and other external groups to understand the issues they care about and we measure our esg progress across our business so that we can work toward being more transparent with each year,Human_Rights_And_Community_Relations,None
above all we are always working to leave the world better than we found it and to create powerful tools that empower others to do the same,Human_Rights_And_Community_Relations,Labor_Practices
we have been carbon neutral for our own operations since 2020 including business travel and employee commute and are progressing toward an urgent goal to be carbon neutral across our entire business including the full life cycle of our products by 2030 were on an ambitious journey to one day make our products using only recycled or renewable materials we design our products to be safe for anyone who assembles uses or recycles them and to be better for the environment at the same time we are partnering with communities and local leaders and working to make sure our environmental efforts are also a force for equity and justice,Product_Design_And_Lifecycle_Management,Employee_Engagement_Inclusion_And_Diversity
we are committed to inclusion and diversity for our team and in our world and we have programs and benefits to support the development of our team members we continue to prioritize the health and safety of our teams customers supplier employees and communities,Employee_Engagement_Inclusion_And_Diversity,Labor_Practices
inclusion and diversity growth and development engagement benefits and compensation workplace practices and policies health and safety,Employee_Engagement_Inclusion_And_Diversity,Labor_Practices
labor and human rights in the supply chain,Labor_Practices,Human_Rights_And_Community_Relations
we are focused on infusing our values into our products engineering privacy and security into everything we make and designing our products and services to be accessible to and inclusive of the widest range of users we also find innovative ways to support peoples education health and a range of human rights topics with a specific focus on communities too often denied opportunities,Data security,Customer_Welfare
apple has over 165000 team members who work in corporate offices and apple stores around the world,Product_Design_And_Lifecycle_Management,None
environmental progress report 245mbpdf environment website,Ecological_Impacts,Employee_Health_And_Safety
people and environment in our supply chain 225mbpdf supplier responsibility website efforts to combat human trafficking and slavery,Supply_Chain_Management,Human_Rights_And_Community_Relations
apples newsroom also provides the latest updates regarding our programs initiatives and offerings mentioned throughout this report,Management_Of_Legal_And_Regulatory_Framework,None
we are committed to helping address shared global challenges that is why we engage with public policy and the legal system when we identify an opportunity to support the rights and wellbeing of our people customers communities and planet,Human_Rights_And_Community_Relations,Management_Of_Legal_And_Regulatory_Framework
apples climate policy advocacy centers on several principles each of which govern apples public policy positions on climate set strong targets based on science disclose comprehensive emissions create sector specific policies and support a green economy for all,Physical_Impacts_Of_Climate_Change,GHG_Emissions
inmay2021 apple also became one of the first companies to voice support for the enactment of the clean energy standard ces that would de carbon ize the power grid by2035andatthe26thun climate change conference of the parties cop26in glasgow scotland in2021 apple called for bold government action on climate change joining several new initiatives including the first movers coalition the forest investor club and the clean energy demand initiative,Physical_Impacts_Of_Climate_Change,Energy_Management
we also advocate for country specific measures that motivate climate action for example we have called for enhanced climate ambition and renewable energy deployment in japans basic energy plan and nationally determined contribution japans plan to reduce emissions in furtherance of the paris agreement and for,Physical_Impacts_Of_Climate_Change,GHG_Emissions
apples vice president of environment policy and social initiatives lisa jackson alongside president joe biden and other leaders from around the world at the 2021 united nations climate change conference photo credit world economic forum,Physical_Impacts_Of_Climate_Change,Human_Rights_And_Community_Relations
de carbonization policies to prioritize support for new technologies that can fully account for reducing emissions across their life cycle,Energy_Management,Air_Quality
we believe that every person should be treated with dignity and respect and we speak out publicly in ways that reflect our values as just one recent example we have continued our public support for lgbtq equality by working with the human rights campaign and other organizations to support lgbtq equality protections and oppose discriminatory proposals this includes legislative advocacy at the federal and state levels and working with coalitions of businesses to stand against what we believe to be harmful and divisive legislation that threatens individuals families and communities most recently that included sending a letter to texas leadership opposing laws that discriminate against the lgbtq community read more here,Employee_Engagement_Inclusion_And_Diversity,Human_Rights_And_Community_Relations
in november 2021 apple filed a lawsuit against n so group and its parent company to hold it accountable for the surveillance and targeting of apple users the complaint provides new information on how n so group infected victims devices with its pegasus spyware to prevent further abuse and harm to its users apple is seeking a permanent injunction to bann so group from using any apple software services or devices,Data security,Competitive_Behavior
our commitment begins with treating everyone with dignity and respect but it does not end there we believe in the power of technology to empower and connect people around the world and that business can and should be a force for good,Human_Rights_And_Community_Relations,None
we conduct human rights due diligence to identify risks and work to mitigate them we also seek to remedy adverse impacts track and measure our progress and report our findings our board of directors adopted the policy and is responsible for overseeing and periodically reviewing it apples senior vice president and general counsel is responsible for its implementation and reports to the board and its committees on our progress and significant issues,Human_Rights_And_Community_Relations,Director_Removal
in addition to our own internal monitoring we consider reports identifying potential risks from external sources including international organizations policy makers shareholders civil society organizations news outlets customers individuals in the supply chain or supply chain communities whistleblower mechanisms and third party hotlines reports also come through the reporting mechanisms we make available directly to all supplier employees apple employees and the general public these reports can come to us in any language and can be anonymous,Supply_Chain_Management,Business ethics
respecting the rights to privacy freedom of expression and access to information promoting diversity equity and inclusion including in our workforce leadership product and services development and our industry respecting labor and human rights in our supply chain by working closely with suppliers so that people in our supply chain are treated with dignity and respect,Employee_Engagement_Inclusion_And_Diversity,Human_Rights_And_Community_Relations
respecting human rights through our efforts to protect the planet in how we design build and recycle our products and through responsible sourcing and use of materials and natural resources,Product_Design_And_Lifecycle_Management,Human_Rights_And_Community_Relations
we are committed to continually assessing our progress and incorporating what we learn,Human_Rights_And_Community_Relations,None
into our work we track and measure our performance across a range of areas and apply the lessons we learn to continually improve we publicly report detailed information on our approach and our performance in the reports websites and other disclosures listed on page 8 as well as within this esg report,Business_Model_Resilience,Employee_Engagement_Inclusion_And_Diversity
the rainbow arches at apple park in cupertino california area nod to apples original logo and an expression of our inclusive values,Employee_Engagement_Inclusion_And_Diversity,Business ethics
at apple we are acting with urgency to protect our planets limited resources and to be a leader in the fight against climate change since 2020 we have been carbon neutral for our worldwide operations and by2030we plan to expand that progress to our entire supply chain and the lifetime use of our products and today nearly 20 percent of the materials in our products were made from recycled content a number we are working to increase,Product_Design_And_Lifecycle_Management,GHG_Emissions
across our environmental work we are also committed to being a force for equity were working with communities on the front lines of climate change and the next generation of diverse entrepreneurs to create shared opportunity and to build a more just world,Physical_Impacts_Of_Climate_Change,Customer_Welfare
the environmental challenges we face today are significant and we are responding with urgency and dedication we approach our work by focusing on fundamental questions what matters most and where can we make the greatest impact these questions guide our work across our strategic focus areas of climate change resources and smarter chemistry,Physical_Impacts_Of_Climate_Change,Employee_Health_And_Safety
and inform our goals in how we can best achieve change,Human_Rights_And_Community_Relations,None
our2022 environmental progress report provides a detailed overview of our work and how we are progressing toward our goals,Human_Rights_And_Community_Relations,Employee_Health_And_Safety
we know we are not alone in working to reduce our environmental footprint so we are engaging with others to support our efforts and find opportunities to lift local communities along the way,Human_Rights_And_Community_Relations,Employee_Health_And_Safety
setting ambitious goals is essential to our approach to drive the innovation and collaboration that makes change possible and to be transparent and accountable to our progress,Management_Of_Legal_And_Regulatory_Framework,Business_Model_Resilience
our work began years ago making the transition to sourcing 100 percent renewable electricity at our offices retail stores and data centers,Energy_Management,Customer_Privacy
which we achieved in 2018andin2020 we reached the milestone of being carbon neutral for our corporate operations including direct emissions as well as business travel and employee commute,GHG_Emissions,Air_Quality
our10 year climate roadmap is addressing apples carbon footprint through five pillars,Physical_Impacts_Of_Climate_Change,GHG_Emissions
low carbon design we will design products and manufacturing processes to be less carbon intensive through thoughtful material selection increased material efficiency and greater product energy efficiency,Product_Design_And_Lifecycle_Management,Energy_Management
100 percent renewable electricity for apple production,Energy_Management,None
issued in green bonds to model how businesses can drive investments to reduce global emissions in our latest green bond impact report we share progress on the projects funded in fiscal year 2021,Management_Of_Legal_And_Regulatory_Framework,Competitive_Behavior
renewable electricity we will continue to source 100 percent renewable electricity for our facilities and transition our entire supply chain to100 percent clean renewable sources of electricity,Energy_Management,None
direct emissions abatement we will reduce direct greenhouse gas emissions in our facilities and our supply chain through process innovation emissions abatement and the use of non fossil based low carbon fuels,GHG_Emissions,Air_Quality
carbon removal working in parallel with our emissions reduction efforts we will scale up investments in carbon removal projects including nature based solutions that protect and restore ecosystems around the world,Ecological_Impacts,GHG_Emissions
to reduce the carbon footprint of our products we are increasing efficiency and transitioning to materials from recycled sources and those made using low carb on energy in2021we continued to improve the carbon efficiency of the integrated circuits we use in our products components we have prioritized because they are carbon intensive for example switching to the apple m1chipforthe13inch macbookpro reduced the energy needed to manufacture and use the device driving down the products carbon footprint by over 8 percent,Product_Design_And_Lifecycle_Management,Energy_Management
we have continued to expand our use of,Product_Design_And_Lifecycle_Management,None
100 percent recycled aluminum in the enclosures of a number of products all ipad models in our line up now use100 percent recycled aluminum in their enclosures joining apple watch series 7applewatchse macbook air mac mini and the 14inchand16inch macbookpro devices for products released in 2021 that had enclosures made with primary aluminum we,Product_Design_And_Lifecycle_Management,None
to minimize the carbon footprint of our products we seek to create less waste in the processing of materials reduce machining time and the associated energy used more efficiently transform material into the shapes we need and maximize recovery and reprocessing of manufacturing scrap,Waste_And_Hazardous_Materials_Management,Energy_Management
prioritized the use of aluminum smelted using low carbon sources of electricity rather than fossil fuels for a lower carbon impact these changes alone have decreased the carbon emissions associated with our use of aluminum by68percentsince2015,GHG_Emissions,Air_Quality
this past year we intensified our efforts to reduce apples emissions in fiscal year 2021weavoidedover23 million metric tons of emissions across all scopes initiatives that we ve been growing for years like sourcing 100 percent renewable electricity for our facilities transitioning suppliers to clean energy and using low carbon materials in products yielded indisputable results,Energy_Management,Air_Quality
225 million metric tons,Energy_Management,None
low carbon materials represents emissions savings from transitioning to recycled materials in our products or use of low carbon aluminum as described on page 18,Product_Design_And_Lifecycle_Management,Air_Quality
even a few years ago not everyone in one community in south africa had electricity at home many people had been using battery powered lanterns because up front costs and other challenges put connecting to the grid out of reach as we worked with our partners to identify new renewable energy projects for our power for impact program we saw exciting potential in this community,Energy_Management,Human_Rights_And_Community_Relations
this is just one example of how the power for impact program is working to benefit communities our company and the environment at the same time learn more on page s22and27 of our environmental progress report,Human_Rights_And_Community_Relations,Employee_Health_And_Safety
with access to electricity in their homes kids can now do homework at night and families can cook meals indoors,Access_And_Affordability,None
we continue to experience tremendous progress toward our goal of transitioning our manufacturing supply chain to100 percent renewable electricity by2030asofmarch2022213 manufacturing partners in 25 countries have committed to 100 percent renewable energy for apple production,Energy_Management,Product_Design_And_Lifecycle_Management
many components essential to products like ours including integrated circuit chips and display panels currently rely on manufacturing processes that use fluorinated gases which have high global warming potential were partnering closely with key manufacturers to prevent these gases from being,Energy_Management,Product_Design_And_Lifecycle_Management
released into the atmosphere by optimizing manufacturing processes and deploying abatement technologies,GHG_Emissions,Product_Design_And_Lifecycle_Management
to address emissions from shipping products to our customers we are shifting whenever possible toward less carbon intensive shipping modes such as rail and ocean and were seeking out technical innovations including alternative fuels and electric vehicles in fiscal year 2021appleavoided180000 metric tons of co2e by shifting the mode of transport and,Product_Design_And_Lifecycle_Management,Air_Quality
reducing product weight through the removal of the power adapter from the box of iphone devices,Product_Design_And_Lifecycle_Management,None
in2020we conducted a climate scenario analysis to help us better understand the potential physical and transition effects of climate change to align with the task force on climate related financial disclosure st cfd recommendations we considered a range of future scenarios including a scenario below 2c and we assessed geographies around the world to capture both corporate and supplier activities the analysis highlighted how our renewable energy program and carbon neutrality goals could contribute to our corporate resiliency it also provided environmental data that we considered in developing business strategies including considerations around supply chain diversification as well as safeguarding our global assets,Physical_Impacts_Of_Climate_Change,GHG_Emissions
we are committed to managing regulatory reputational and market risks related to climate change for more information on these climate related risks and apples governance of these risks read our 2021cdp submission pdf,Physical_Impacts_Of_Climate_Change,GHG_Emissions
to address the emissions we can not yet avoid we are are investing in carbon removal projects in addition to removing carbon nature based carbon removal projects also offer important ecological and social benefits such as preserving biodiversity and enhancing the resilience of ecosystems while often providing economic development opportunities for local communities,Ecological_Impacts,GHG_Emissions
we partnered with conservation international and goldman sachs to launch the innovative restore fund which seeks to blend responsible forestry practices with carbon removal were working with forestry managers to create sustainably managed forests that optimize for both carbon and wood production creating revenue from timber and generating high quality carbon credits apple will invest up to 200 million in projects that aim to remove carbon from the atmosphere and store it all while meeting clear social and environmental impact criteria and offering a financial return in its pilot phase there store fund has a goal of removing at least 1 million metric tons of carbon dioxide per year,GHG_Emissions,Energy_Management
for more information on our efforts to combat climate change and reach our 2030 carbon neutral goal read our2022 environmental progress report,Physical_Impacts_Of_Climate_Change,GHG_Emissions
as the restore fund projects come online we have partnered with conservation international to develop and invest in nature based carbon removal projects this includes a project to protect and restore 27000 acres of mangrove forests in colombia,Ecological_Impacts,Energy_Management
last year we welcomed the first class to our impact accelerator a program for black hispanic latin x and indigenous owned businesses headquartered in the united states that share our focus on innovation and our commitment to the environment part of apples racial equity and justice initiative see page 60 the accelerator aims to help combat systemic barriers to opportunity while also advancing innovative solutions for communities most impacted by climate change,Physical_Impacts_Of_Climate_Change,Human_Rights_And_Community_Relations
we selected our first class of 15 businesses on the cutting edge of green technology and clean energy to begin the program in august 2021 the three month program included live virtual sessions online courses on supply chain management supplier diversity financial and legal subjects as well as one on one mentorship with an apple expert on topics from renewable energy to responsible sourcing,Supply_Chain_Management,Labor_Practices
the goal of the impact accelerator is to better position the participating companies for growth to improve their abilities to take on larger contracts and to expand their customer base all while fostering their environmental commitment for example last october we announced that we will be working with the oc et is a kow in power authority formed by six sioux tribes to jointly develop tribal renewable energy resources on a project to create a wind power development in the midwest and following the success of this years class our efforts continue this spring applications opened for the next class to join our impact accelerator,Energy_Management,Competitive_Behavior
for apples inaugural impact accelerator leaders from 15 companies participated in a three month virtual program with customized training and access to apple expert mentors,Access_And_Affordability,Employee_Engagement_Inclusion_And_Diversity
natural resources make our work possible and we take responsibility for how we source use and recycle the materials we rely on to create our products as a starting point this means sourcing responsibly minimizing our fresh water use and eliminating waste across our operations and those of our suppliers and we are also seeking to redefine the overall resource footprint of our products our goal is to one day make products using only responsibly sourced recycled and renewable materials,Product_Design_And_Lifecycle_Management,Business ethics
within resources we focus on three main areas of impact,Access_And_Affordability,Human_Rights_And_Community_Relations
materials transitioning to only recycled or renewable materials in our products and packaging and maximizing material efficiency product longevity and recovery,Product_Design_And_Lifecycle_Management,Critical_Incident_Risk_Management
we aim to make the best use of the materials we rely on to make our products that is why were focusing on three different levers to reduce our footprint and achieve circularity sourcing and efficiency product longevity and product end of life,Product_Design_And_Lifecycle_Management,Energy_Management
last year we made progress across materials from expanding our use of recycled rare earth elements to designing cameras with recycled gold in september we introduced iphone13 with more certified recycled materials than any previous version of iphone we also introduced 100 percent recycled aluminum enclosures on every single model in the ipad lineup,Product_Design_And_Lifecycle_Management,None
in fiscal year 2021nearly20 percent of the material we shipped in products came from recycled and renewable sources,Product_Design_And_Lifecycle_Management,None
in fiscal year 2021we more than doubled our use of recycled tungsten rare earth elements and cobalt and introduced certified recycled gold for the first time in an apple product,Product_Design_And_Lifecycle_Management,None
across our business we released eight products with more than 20 percent recycled content 6 the macbook air with m1chip2020had the highest total made with,Product_Design_And_Lifecycle_Management,None
44 percent recycled content device wide including 100 percent recycled aluminum in the enclosure these and other innovations helped us increase our use of recycled or renewable content to 18 percent of all the material shipped in products in fiscal year 20217,Product_Design_And_Lifecycle_Management,None
we have made significant progress toward eliminating all plastics from our packaging by2025 this past year plastics accounted for only 4 percent of our packaging since 2015weve dedicated our efforts to replacing large plastic trays wraps and foam cushioning with fiber alternatives that have higher recovery rates and reduced environmental footprints,Product_Design_And_Lifecycle_Management,Product_Quality_And_Safety
this year the iphone13andiphone13pro were the first i phone models to be shipped without any plastic packaging components 8 and were placed plastic foam with a fiber alternative to protect the 24inchimac during shipping,Product_Design_And_Lifecycle_Management,Product_Quality_And_Safety
for the 24inchimac using corrugated fiber rather than foam for shock absorption allowed us to reduce plastic by72 percent,Product_Design_And_Lifecycle_Management,None
by effectively recovering the materials in our products we enable the circular supply chains that make the best use of finite resources through our work in this area we are reducing the need to mine new materials and the amount of energy needed to manufacture new products ultimately driving down emissions and conserving resources,Product_Design_And_Lifecycle_Management,Air_Quality
in99 percent of the countries where we,Management_Of_Legal_And_Regulatory_Framework,None
sell products we continue to provide and participate in product take back and recycling collection programs with the help of customer and employee participation across recycling programs we directed more than 38000 metric tons of e waste to recycling globally in fiscal year 2021,Product_Design_And_Lifecycle_Management,Waste_And_Hazardous_Materials_Management
we are committed to managing the resources we share with the communities where we and our suppliers operate our efforts to address the water footprint of our corporate sites and of our suppliers sites focus on,Water_And_Wastewater_Management,Competitive_Behavior
read more about our efforts to conserve resources in our 2022 environmental,Ecological_Impacts,Employee_Health_And_Safety
the wellbeing of our employees customers people in our supply chain and the planet is a priority for apple which is why were committed to using safer materials to create safer products this commitment requires diligent work to build a comprehensive picture of chemicals across our supply chain to insist on rigorous chemical management processes to promote adoption of safer chemical alternatives and to innovate through design smarter approaches to making our products using safer chemistry in our products also enables recycling and material recovery so that our products can be the raw materials for the next generation,Product_Design_And_Lifecycle_Management,Waste_And_Hazardous_Materials_Management
the pillars of our smarter chemistry strategy are,Systemic_Risk_Management,Waste_And_Hazardous_Materials_Management
mapping and engagement engage our supply chain partners to comprehensively identify the chemicals in the materials used to make our products allowing us to drive change that goes beyond what is required for regulatory compliance,Product_Design_And_Lifecycle_Management,Business ethics
assessment and management assess the potential human health and environmental risks of chemicals to evaluate compliance with our requirements and inform product design,Product_Design_And_Lifecycle_Management,Employee_Health_And_Safety
innovation drive the development and use of innovative materials that enable the creation of groundbreaking products and also support industrywide change,Product_Design_And_Lifecycle_Management,Business_Model_Resilience
our full material disclosure fmd program maps the chemicals used in our products an effort that includes tens of thousands of parts and assemblies then we look at how our products are manufactured our chemical safety disclosure csd program engages with supply chain partners to get the most recent information on which materials are in use this information includes the volume of materials being consumed and how they re being applied stored and handled as well as the steps being taken to protect employees,Product_Quality_And_Safety,Management_Of_Legal_And_Regulatory_Framework
more than 1000 supplier facilities have shared their chemical inventories as well as storage and safety protocols as part of our csd program through this process we have identified more than 17000 chemicals and applications these efforts contribute to a safer work environment for people across our supply chain,Product_Quality_And_Safety,Customer_Welfare
the data we collect on chemicals and materials,Waste_And_Hazardous_Materials_Management,Product_Quality_And_Safety
forms the foundation for key decisions that,Management_Of_Legal_And_Regulatory_Framework,None
have an impact on our product designs,Product_Design_And_Lifecycle_Management,Human_Rights_And_Community_Relations
recycling and reuse this data enables us,Customer_Privacy,Waste_And_Hazardous_Materials_Management
to establish requirements for our suppliers,Supply_Chain_Management,None
including those set out in our regulated,Management_Of_Legal_And_Regulatory_Framework,None
provide clear guidelines on potentially harmful,Waste_And_Hazardous_Materials_Management,None
materials including those that are restricted,Waste_And_Hazardous_Materials_Management,None
our assessment system helps to ensure,Management_Of_Legal_And_Regulatory_Framework,Human_Rights_And_Community_Relations
that only materials that meet our stringent requirements are used in apple products at our environmental testing lab we evaluate the safety of our products and materials through chemical analyses our chemists test materials for safety and monitor compliance with our specifications in fiscal year 2021we performed toxicological assessments on 1000 new materials to proactively evaluate and eliminate potentially harmful substances from our products,Product_Quality_And_Safety,Employee_Health_And_Safety
the work we do in mapping assessing and managing the chemicals within our supply chain underpins our innovations we rely on detailed information on the material properties including toxicological data and environmental performance characteristics we also look,Waste_And_Hazardous_Materials_Management,Employee_Engagement_Inclusion_And_Diversity
at how these materials are used at each,Product_Design_And_Lifecycle_Management,None
point in the product lifecycle from design to manufacturing to end of life this allows us to seek out and support the development of safer chemistries that have an impact on each phase and contribute to continually improving the overall safety of our products and processes,Product_Design_And_Lifecycle_Management,Competitive_Behavior
since the late 1990s we have diligently identified and removed potentially harmful chemicals from our products such as brominated flame retardant s beryllium mercury and lead we are also driving the use of safer process chemicals in our supply chain since 2018 all our final assembly sites have used only safer alternative cleaners and degreasers as we work toward minimizing potentially harmful chemistries in our products and processes we are making the transition to safer alternatives accessible to others through industry initiatives partnerships and standards with the hope of driving chemical safety across the industry,Product_Quality_And_Safety,Labor_Practices
understanding chemical ingredients leads to better materials for apple products,Selling_Practices_And_Product_Labeling,None
through our full material disclosure fmd program manufacturers share chemical ingredients used to make materials with apple,Selling_Practices_And_Product_Labeling,Competitive_Behavior
with fmd data apple evaluates the chemicals in materials against restrictions,Waste_And_Hazardous_Materials_Management,Product_Quality_And_Safety
data helps apple suppliers manage chemicals when making apple products,Waste_And_Hazardous_Materials_Management,Product_Quality_And_Safety
information on how chemicals are used how they restored and how employees are protected is shared with appleby suppliers through our chemical safety disclosure csd program,Product_Quality_And_Safety,Customer_Welfare
csd data informs and prioritizes supplier engagement helping to ensure rigorous chemical management practices and adoption of safer alternatives,Supply_Chain_Management,Labor_Practices
apple customers benefit from use of products made with safer ingredients,Selling_Practices_And_Product_Labeling,None
the fmd and csd programs help support creation of best in class products in a responsible manner for our customers,Product_Design_And_Lifecycle_Management,None
read more about our commitment to using safer materials to create safer products in our2022 environmental progress report,Product_Design_And_Lifecycle_Management,Employee_Health_And_Safety
with over 165000 team members around the world our people are at the heart of everything we do from their first day apple team members have the resources and opportunities to build new skill sets pursue new passions and feel supported and cared for at work and beyond,Employee_Engagement_Inclusion_And_Diversity,None
a safe environment is also integral to unlocking the potential of all of our team members and our commitment to environment health and safety ehs extends to contractors customers and communities as well we are working hard to make sure our people are safe no matter where they are when they are conducting business for apple we have procedures in place to identify and mitigate possible hazards and we are prepared to respond to any crises that may arise our senior vice president and chief financial officer cfo luca maestri oversees apples ehs program which is driven by an expert leadership team,Employee_Health_And_Safety,Labor_Practices
we have robust workplace policies and practices including our business conduct policy human rights policy and ehs policy that articulate our strong commitment to our people and to creating an environment where they can do their best work,Human_Rights_And_Community_Relations,Management_Of_Legal_And_Regulatory_Framework
accountability measures across the company allow us to track progress and build a foundation for lasting and durable change we are listening to employee feedback amplifying underrepresented voices and taking action to meet our teams needs,Management_Of_Legal_And_Regulatory_Framework,Business ethics
consistency in how we drive and track progress in the last year we completed comprehensive data reviews with executive leadership and organizational action plans within every line of business,Business_Model_Resilience,Employee_Engagement_Inclusion_And_Diversity
u rcs groups whose representation in tech has been historically low female black hispanic latin x multiracial and indigenous peoples,Employee_Engagement_Inclusion_And_Diversity,None
data is for the 2021 calendar year,Management_Of_Legal_And_Regulatory_Framework,Customer_Privacy
to create products for everyone in the world we need a workforce with diverse backgrounds and experiences we are making continuous progress in building an apple community that,Employee_Engagement_Inclusion_And_Diversity,Human_Rights_And_Community_Relations
represents the diverse and ever changing world we live in and we are committed to far more,Employee_Engagement_Inclusion_And_Diversity,None
we are making progress in increasing representation and currently 50 percent of our workforce in the yous is made up of people from underrepresented communities with more than 165000 employees globally even a1 percent improvement impacts a substantial number of people and increasing overall representation requires focus to drive progress,Employee_Engagement_Inclusion_And_Diversity,Labor_Practices
beyond our own operations we are partnering to challenge systemic bias through initiatives like rejipage60 entrepreneur camp page 64 impact accelerator page 18 apple developer academy page 63 work with historically black colleges and universities hbcusandhsispage60 as well as our responsible procurement work page 45,Systemic_Risk_Management,Human_Rights_And_Community_Relations
over the past year we hired more black and hispanic latin x team members in the yous than ever before additionally in the open positions we filled during this time period representation of these communities was the highest ever incorporate and retail roles filled in the yous,Employee_Engagement_Inclusion_And_Diversity,None
data is for the 2021 calendar year,Management_Of_Legal_And_Regulatory_Framework,Customer_Privacy
we have built inclusion and diversity measures into our candidate assessment framework and we continue to make progress toward our goal of having more diverse interview panels and candidates so that diversity is reflected at every stage of the hiring process we are making sure everyone involved in the hiring process has access to the information and resources they,Employee_Engagement_Inclusion_And_Diversity,Human_Rights_And_Community_Relations
in addition to training and embedded material provided through apple university below,Access_And_Affordability,Employee_Engagement_Inclusion_And_Diversity
hours of management education including focus on mitigating bias and creating inclusive environments through apple university infy2021,Employee_Engagement_Inclusion_And_Diversity,Labor_Practices
