paragraph,predict_label,count,different,empty,diff rate,empty rate
MediaTek strives to be a global operation and technology leading company,3,26,diff,empty,,
Enhance and enrich everyones life,8,26,diff,empty,,
enabling customer success with most innovative products and services,15,26,diff,empty,,
Granted the honor of Outstanding AsiaPacific Semiconductor Company by Global Semiconductor Alliance GSA,3,26,diff,empty,,
Placed at the 5th for large enterprise,3,26,diff,empty,,
at Corporate Citizen Award of,3,26,diff,empty,,
Granted Taiwan Corporate Sustainability Awards TCSA by Taiwan Institute for Sustainable Energy including The Most Prestigious Sustainability Award Top 10 Domestic Corporates Cybersecurity Award Platinum Award on Corporate Sustainability Report Growth through Innovation Award People Development Award Social Inclusion Award and Supply Chain Management Award,17,10,diff,,,
Has been acknowledged by the Ministry of Economic Affairs as one of the Best Taiwan Global Brands for 7 consecutive years,12,26,diff,empty,,
Received Leading Global Fabless Semiconductor Company of 2021 award from 8th Mobility Conclave Mobility Excellence Awards 2021 MediaTek Dimensity 1200 5G Open Resource Architecture also won Best Mobile 5G Chip of 2021 award,1,26,diff,empty,,
Selected as a constituent stock into multiple domestic and overseas sustainability indices including MSCI Taiwan ESG Leaders Indexes FTSE4Good Emerging Indexes FTSE4Good TIP Taiwan ESG Index FTSE TWSE Taiwan 50 Index TWSE RAFI Taiwan High Compensation 100 Index TWSE Corporate Governance 100 Index TWSE RA Taiwan Employment Creation 99 Indexand Taiwan Environmental Sustainability 50 Index,18,0,diff,,,
Granted the honor of Top 3 for both senior management team and investor relations team in AllAsia Executive TeamTechnology Semiconductor rankings corporate management team evaluation by Institutional Investor magazine,8,11,diff,,,
Won theBest Mobile SoC Brand of 2021 award from the Indian Gadget Awards 2021,15,26,diff,empty,,
MediaTek received IoT Semiconductor Company of the Year award at the 9th Annual Compass Intelligence Awards in IoT Mobile and Emerging Tech also MT9638 won Artificial Intelligence Chipset award,1,26,diff,empty,,
Sustainability Committee Organization Strategy and Scope,3,0,diff,,,
Message from Our Sustainability Committee Chairperson,3,0,diff,,,
In 2021 MediaTek continued to demonstrate remarkable performances not only in business but also on corporate governance environment society and innovative value all amid the pandemic and turbulences in politics and economy The key concept of our sustainable development strategy is global reach local presence and from there we have developed six focuses including global presence innovation talent corporate governance environmental management and community engagement We endeavor to become a sustainable business bringing positive impact as we all move towards making the world a better place for the humankind,10,7,diff,,,
As a fabless IC design company of technology innovation and high knowledge intensity MediaTek has aspired to become a green innovator and we constantly think of ways to reduce energy consumption of consumer electronic products with our IC design In 2021 the energy consumption for the chips we designed dropped 23 on average in comparison to the previous year translating to a saved power sufficient for consumption by 170000 households a year In line with the governments green power policy and COP26 carbonreduction goal the company has completed commissioned verification of ISO 14064 greenhousegas emission and ISO 50001 energy management certification we have also led our supplychain partners to attain the goal of 2 reduction of carbon intensity for two consecutive years,24,24,,,,
Grow and Prosper with Our People Community,10,10,,,,
MediaTek is one of the leading companies in the global IC design industry Our talented employees came from around the globe and we are dedicated to foster a workplace culture that values diversity equity and inclusion One example is that our female employees in the RD workforce is higher than that of female university graduates of electrical engineering majors in Taiwan We are also committed to our employees and the communities of which we operate in we provide betterthanlaw supporting and caring mechanism by offering allrounded heath care for our employees Over the years we have been supporting talent cultivation programs of schools at various levels our actions included taking lead in the establishment of four major semiconductor colleges in support of government policy In addition we have launched STEM course development program for teachers as well as programs funding popular science and technology projects at elementary schools as part of our longterm effort in driving scientific and technological education and innovation Our annual Genius for Home campaign have collected over 1500 proposals for the past 5 years continuing to encourage participants to give back to their hometowns with technology and innovation,8,8,,,,
Compensation and benefits Diverse and Inclusive workplace Human rights of employees Employee development,8,8,,,,
Our company was ranked among top 5 in corporate governance evaluation by Taiwan Stock Exchange TWSE in 2021 underlining our strengthened governance structure in upholding stakeholders rights as well as enhancing information security mechanism Besides we have obtained Agrade verification for Taiwan Intellectual Property Management System TIPS by Ministry of Economic Affairs Industrial Development Bureau in acknowledgement of our dedication in IP protection We have also put in place a supplier information security management procedure to lower the risk on supplychain information security Meanwhile our Board of Directors has drawn up specific stockdividend policy raising regular stockdividend payout rate to 8085 on top of fouryear special cashdividend plan calling for payout of NTD16 extra cash dividend per share a year so that our shareholders can benefit from the companys business achievements,1,12,diff,,,
The companys effort in fulfilling corporatecitizen responsibilities won it multiple recognition in 2021 including the best performance ever in corporate citizen award by Commonwealth magazine and Top 10 Taiwanese corporate sustainability paradigms award as well as being included as constituent stock in major sustainability indices such as MSI Taiwan ESG Leaders Index FTSE4Good Emerging Index and FTSE4Good TIP Taiwan ESG Index Our incessant pursuit for sustainable operation and growth will continue to lead our company in building our core business in line with the UN SDGs sustainable development goals so we can continue our path as a reliable and trustworthy partner to our customers while contributing to a sustainable future for the earth and next generations,3,8,diff,,,
Vice Chairman CEO MediaTek Inc,3,26,diff,empty,,
Chairperson of Sustainability Committee MediaTek Inc,3,0,diff,,,
MediaTek aspires to lead and operates with a global mindset,3,26,diff,empty,,
The company set three development objectives including one that highlights the companys vision on global business operation and,3,4,diff,,,
sustainable development we aspire to uphold our distinctive world class position and become a wellrespected and strategically,15,4,diff,,,
MediaTek actively innovates to provide highly competitive and compelling products and services to our customers,15,26,diff,empty,,
Of the three objectives set by the company the first two are directly related to innovation first we aspire to achieve technology leadership,15,3,diff,,,
in areas critical for business success second we aspire to deliver differentiated technologies features and services and capture the value,15,26,diff,empty,,
for sustainable growth and profit The concept of attaining sustainable growth and profit aligns with corporate sustainability development,3,4,diff,,,
Of ISSCC paper acceptance recordkeeper among Taiwanbased companies,12,26,diff,empty,,
91974 families in USA Can survive on the electricity we saved through products last year,15,26,diff,empty,,
Accumulated over the past years,12,26,diff,empty,,
Global resource pooling for RD and operation,17,26,diff,empty,,
By recruiting talent worldwide via organic growth as well as MA MediaTek has built up a workforce of several thousand for RD and operation at 27 sites in the three continents of North America Europe and Asia laying solid groundwork for MediaTek to become a world class company,8,4,diff,,,
Pursuit of product inclusion and dissemination of technology,15,7,diff,,,
We believe that technology can improve human life and build an effective bond with the world We have been endeavoring to connect people from all walks of life actively tapping emerging markets and facilitating the exploration of opportunities worldwide with our new technologies To meet the needs of a multilinguistic society for instance our mobilephone products for the Indian market boast of over 20 dialects Aiming for inclusion our camera function presents people of different ethnicities equally well with its unique algorithm and is wellreceived by darkskinned users,8,10,diff,,,
Improved business performance and upgraded industrial status,3,8,diff,,,
In 2021 with gross margin increasing by 3 percentage points operating income jumped 150 MediaTek was largest semiconductor company and hit the list the worlds 4 of Best Taiwan Global Brands for the 7,4,26,diff,empty,,
year in a row and is the only semiconductor company on the list,17,26,diff,empty,,
largest fabless IC design company and the 7,18,26,diff,empty,,
Active participation in standards organizations,12,11,diff,,,
The company has served in key positions in working groups of various standards organizations such as 3GPP IEEE 80211 standards committee and WiFi Alliance exercising its industrial influence to contribute to the worlds latest technology standards,12,11,diff,,,
Key player that drives the development of the 5G ecosystem,3,4,diff,,,
In addition to designing cutting edge products MediaTek has joined hands with global partners such as Ericsson Nokia NTT Docomo TMobile Verizon Chunghwa Telecom and Far EasTone Telecom in pushing 5G forward,15,26,diff,empty,,
The company spent 96 billion NTD on RD in 2021 up near 24 than the previous year underscoring its resolve in retaining technological edge,12,26,diff,empty,,
Within the worlds leading group for cuttingedge technology,24,26,diff,empty,,
Ahead of its peers MediaTek rolled out flagship 5G SoC Dimensity 9000 pushing mobileplatform technological renovation with innovative computing gaming imaging multimedia and communications enabling mobiledevice firms to forge differentiated flagship 5G smartphones which underscores its industrial influence on the global market,4,26,diff,empty,,
MediaTek continued to launch highperformance low energyconsumption chips helping end products of its customers cut energy consumption by 23 which given the amount of chip sales led to power saving of 667 million kWh the equivalent of CO2e reduction by 334834 tons carbon sequestration of 396254 acres of US forests in a year or electricity use of 91974 average American households in one year,24,24,,,,
In 2021 2 papers from MediaTek were accepted and subsequently published by ISSCC 2021 accumulating 85 papers for 19 consecutive years,12,26,diff,empty,,
The company secured over 1500 patents in Taiwan and abroad in 2021 the highest in the Taiwanese IC design industry boosting the accumulated amount to over 12000 The company also tops the Taiwanese semiconductor industry in the amount of global al patents it holds in 5G communications WiFi and HEVC,4,26,diff,empty,,
Note Conversion based on the Greenhouse Gas Equivalencies Calculator of the United States Environmental Protection Agency,25,9,diff,,,
and the electricity emission factor 0502 kg CO2ekWh published by the Taiwan Bureau of Energy,21,24,diff,,,
MediaTek provides an environment of diversity and inclusion to attract global talent with opportunities for them to unleash their potential and grow with the company,8,8,,,,
MediaTek has adopted corporate governance practices to reflect our strong commitment to protecting stakeholder interests,4,0,diff,,,
Average annual pay for employees among national Top 3 according to TWSE TPExlisted companies in 2021,11,26,diff,empty,,
Of the 2021 Global Employee Survey with 86 response rate and more than 13000 participants,8,9,diff,,,
360 feedback implementation Helping managers to advance leadership development to facilitate team members to grow as a team,8,8,,,,
Safeguarding employee health worldwide against the pandemic,9,9,,,,
Monitor the pandemic development across the world closely to keep tracking on response status Meanwhile through our pandemic command center to assure crosssite aliment and uninterrupted global operation,5,4,diff,,,
Reinforcement of leadership competence and development through 360 degree feedback program,8,8,,,,
Providing managers constructive feedback collected from line manager peers and subordinates to accelerate leadership development Building a feedback culture contributing to archive organizational growth,8,8,,,,
Continuous effort in creating a friendly work environment,9,26,diff,empty,,
Proactively expend AI ChatBot to enhance twoway communication and collect employees voice and offers a onestop realtime service for workplace inquiry and assistant Held regular Global Employee Survey in 2021 to better understand employees and response based on their feedback,8,8,,,,
Improving user experience in global learning website,2,26,diff,empty,,
All employees can access corporate learning website an one stop shop to manage and register facetoface lectures professional training and online course at ease,2,8,diff,,,
100 Attendance rates for Audit Compensation and Sustainability Committees,12,12,,,,
To enhance corporate governance and shareholdersrights MediaTek establishes a concrete Dividend Policy and discloses relevant information in the Annual Report,12,12,,,,
Reinforcement of information security mechanisms,1,22,diff,,,
The Company has continued to take inventory of important documents and technologies as well as reinforce the protection of key technologies and enhance the effectiveness of the companys cyber security measures and information security programs,1,22,diff,,,
The Risk Management Committee submitted a risk management report to the board meeting in July 2021 The report includes various important risks that may arise from business activities and operations for integration into monitoring and management in order for the Company to conduct assessments and formulate countermeasures and continue to improve risk management efficiency so as to achieve the Companys ultimate goal of sustainable development,18,11,diff,,,
We ensure responsible supply chain management by reducing our environmental impact where possible encouraging suppliers to work together on issues relating to climate change,17,9,diff,,,
MediaTek aspires to be involved through our core capabilities to empower the community with science education and innovative technological applications,2,10,diff,,,
The company has been dedicated to cultivation of talent in the field of science and technology as well as,8,8,,,,
Electricity generated by our own rooftop solar power system,24,24,,,,
The companys local purchase value exceeded 250 billion NTD in 2021 driving growth of local semiconductor industry,12,4,diff,,,
Have been covered by Genius for Home proposals,12,26,diff,empty,,
Were proposed for communities in a single year,10,26,diff,empty,,
Benefitted from our public service programs,10,6,diff,,,
In line with advocacy of net zero carbon emission by UN Climate Change Conference the company held its 3rd forum on international carbon abatement trend corporate response measures and greenpower procurement strategy online attended by representatives from industry government and academia and invited supply chain partners to join In 2021 MediaTek completed inventory of supply chain carbon abatement plan and auditing of carbonabatement performance thereby attaining the target of cutting carbon intensity by 2 a year In addition MediaTek has actively pushed reduction of carbon emission intensity lowering of greenhousegas emission volume per product unit and target for usage of renewable energy which are included in the criteria for annual supplier sustainability evaluation MediaTek has also inspect suppliers and present corporate sustainability award to suppliers to encourage them to prioritize EGS learn from peers and refine their action plan and project marching towards to build a sustainable value chain hand in hand,17,25,diff,,,
100 External verification for carbon reporting,12,21,diff,,,
MediaTek completed ISO 14064 International Standard for GHG Emissions Inventories and Verification as well as ISO 50001 Energy Management Standard practicing effective greenhousegas reporting and reduction,25,25,,,,
Dedication to energy conservation and carbon abatement,12,24,diff,,,
At full capacity our 3 energyefficient highdensity datacenters saves 203 million kWh of power a year In 2021 MediaTeks rooftop solar power system generated 194000 kWh of power In 2022 the company will evaluate setup of second one In addition series of environmentprotection and lowcarbon emission measures have been implemented at headquarters including integrated MediaTeks own IoT chip products into the meetingroom system to save energy Completed LED lighting system replacement in headquarters as well as installing electric vehicle charging stations Schedule to install electric motor charging station in 2022,24,24,,,,
MediaTek has been collaborating with the academia and has supported their talent cultivation over the years Our collaborative efforts include joint establishment of innovative research centers on campus industryuniversity collaboration on specific projects participation in academic research institutes recruitment of talented professors from overseas provision of scholarships for domestic and overseas doctoral students and partnerships with at least 20 universities in Taiwan and abroad,8,8,,,,
Genius for Home MediaTek Digital Social Innovation Competition which received 418,4,3,diff,,,
innovative solutions to make communities better in Taiwan We also supported teams from previous years in,10,26,diff,empty,,
Train Teachers for Programing accumulated insights from 2019 to 2020 across 9 municipalities In 2021,12,26,diff,empty,,
MediaTek upgraded it to support teachers developing STEM program cultivating science and technology,2,26,diff,empty,,
teachers at elementary and junior high schools as well as subsidies for them to open science and,2,26,diff,empty,,
technology courses In addition MediaTek has been cooperating with National Taiwan Science Education,2,26,diff,empty,,
Center since 2011 subsidizing schools at remote areas in educational scientific projects a program engaging,2,26,diff,empty,,
4000 teachers and students 40 of slots reserved for schools in remote and disadvantaged communities in,2,26,diff,empty,,
order to narrow the urban rural divide,4,26,diff,empty,,
MediaTek has been actively taking part in social services including education industrial development,10,4,diff,,,
humanities and more with the number of beneficiaries exceeding 13000 persontimes in 2021,2,26,diff,empty,,
STEM refers to the four major fields of science technology engineering and math,8,26,diff,empty,,
We continue to engage our stakeholders with our sustainability development through various channels in,10,0,diff,,,
Via review of the difference between inside and outside perception of various strategic issues analysis of basic,18,4,diff,,,
2021 including daily communications under the companys operating structure and communication for issues,12,8,diff,,,
reasons and formulation of corresponding improvement measures for middle and longterm plus continuous,12,26,diff,empty,,
concerned by stakeholders under the latest international trend for sustainable development which warrant,10,4,diff,,,
revision according to periodic review of progress and results we summarize strategic topics as follows,12,26,diff,empty,,
the companys response in priority based on internal and external surveys conducted over the past years,18,5,diff,,,
Strategic issues and their significance for the company,3,26,diff,empty,,
Progress and results in 2021,12,26,diff,empty,,
Innovation We strive to empower people,8,3,diff,,,
from all corners of the world,8,26,diff,empty,,
may enhance and enrich their,15,26,diff,empty,,
Provide innovative products that meet the needs,15,26,diff,empty,,
Roll out cuttingedge chipsets alongside the,24,26,diff,empty,,
Take advantage of AI edge computing plus,4,4,,,,
algorithm and software tools to make major,12,26,diff,empty,,
inroads into the realms of smart home,15,24,diff,,,
wearables smartphones ASIC WiFi 6 and IoT,24,26,diff,empty,,
Invest at least NTD50 billion in RD a year,12,26,diff,empty,,
Achieve technology leadership in areas critical to,3,8,diff,,,
Deliver differentiated technologies features and,15,26,diff,empty,,
services and capture the value for sustainable,15,26,diff,empty,,
Invested NTD 96 billion in RD,12,26,diff,empty,,
Powered 2 billion end devices enhancing and,15,26,diff,empty,,
Rolled out Dimensity 9000 5G SoC offering stable,4,26,diff,empty,,
and AI technology for flagship devices,1,26,diff,empty,,
field and expansion of the,2,4,diff,,,
company has to recruit various,8,26,diff,empty,,
for which it has evaluate,12,26,diff,empty,,
competencies in need as basis,4,26,diff,empty,,
As an industrial leader in technological expertise,15,26,diff,empty,,
Average yearly pay and median pay for formal,11,26,diff,empty,,
the company provides a challenging and,2,26,diff,empty,,
innovative environment to attract talents,8,26,diff,empty,,
Provide compensations superior to industrial,11,26,diff,empty,,
nonmanagerial employees reached NTD 3089,11,26,diff,empty,,
million and NTD 2641 million respectively in,12,26,diff,empty,,
2020 both among top three among companies,18,26,diff,empty,,
listed on the central and OTC markets in Taiwan,4,25,diff,,,
Secure proper talents via multiple innovative,8,26,diff,empty,,
Continuing cultivation talents in key technology,8,26,diff,empty,,
areas AI Technology program cultivating 324,3,26,diff,empty,,
Enrich employee experience by providing various,8,8,,,,
training and development opportunities that,8,8,,,,
Progress and results in 2021,12,26,diff,empty,,
Strategic issues and their significance for the company,3,26,diff,empty,,
for finding proper experts on,4,26,diff,empty,,
the job market Then it has to,4,26,diff,empty,,
well as a friendly and inclusive,10,26,diff,empty,,
Customer Relationship Management Brand Identity and Market Perception We aspire to uphold our,3,11,diff,,,
meet the needs of the individual and organization afair reasonable,10,26,diff,empty,,
and sustainable compensation mechanism a diverse and inclusive,8,11,diff,,,
workplace conducive to exercise of professional capabilities a healthy,9,8,diff,,,
workplace conducive to employees physical and mental health and,9,9,,,,
employees here are defined as,11,26,diff,empty,,
Maintain talent pool meeting the companys current need in terms,8,8,,,,
of quantity and quality to uphold the companys competitive,4,6,diff,,,
Satisfy the companys future demand for talent by continuing,8,4,diff,,,
to invest in talent recruitment and development and provide,8,8,,,,
competitive compensation and benefit packages,4,11,diff,,,
In addition to regular management review on the basis of sales,18,11,diff,,,
forecast and number of new cases the company has been,0,26,diff,empty,,
striving to have better understanding of customers including their,3,26,diff,empty,,
organizational structure focus of concern and working style so as,8,11,diff,,,
to win their favorable impression,4,26,diff,empty,,
Sustain growth in sales close the gap between fab capacity and,4,4,,,,
quantity of order and thereby increase customer satisfaction and,15,6,diff,,,
Tap new markets and extend our customer base through new,3,25,diff,,,
Review and adjust focal points of marketing plan for the year,12,4,diff,,,
raise exposure and precision of online message of product event,15,26,diff,empty,,
planning and intensify execution of focal fields of projects,3,26,diff,empty,,
Increase brand value by 10 and boost corporate image,3,26,diff,empty,,
Increase brand value by 30 and boost corporate image,3,26,diff,empty,,
visits new cases and QA,12,26,diff,empty,,
in response to travel restrictions,22,5,diff,,,
Honored as one of Interbrands,3,26,diff,empty,,
for 7 years in a row,12,26,diff,empty,,
Brand value increased to USD,4,26,diff,empty,,
594 million up 42 from USD,12,26,diff,empty,,
418 million attaining 110 of,12,26,diff,empty,,
Strategic issues and their significance for the company,3,26,diff,empty,,
Progress and results in 2021,12,26,diff,empty,,
Corporate Governance Risk Management and Economic Performance MediaTek endeavors to achieve,18,12,diff,,,
build a solid foundation for,3,26,diff,empty,,
Corporate Governance and Compliance Risk Management Economic Performance,12,12,,,,
Enhance corporate governance with the establishment and,12,0,diff,,,
functioning of the Board Diversity Policy the Merger and,8,7,diff,,,
Acquisition MA Strategy Committee and the Risk Management,3,11,diff,,,
Enforce compliance to prevent material violation of law,0,12,diff,,,
Maintain in Tier1 ranking top 5 of listed companies in the,18,26,diff,empty,,
Corporate Governance Evaluation Include external evaluation into the overall performance,12,0,diff,,,
evaluation of the Board of Directors,7,7,,,,
Stayed in top 5 among listed,18,26,diff,empty,,
companies in the 2021 Corporate,18,26,diff,empty,,
Level A Certificate by the,2,26,diff,empty,,
Enhance overall Board function by responding robustly to,12,7,diff,,,
corporate governance practices recommended by government,12,0,diff,,,
of the Ministry of Economic,12,26,diff,empty,,
equity see 162 Annual Report,18,6,diff,,,
Revenue grew 532 in 2021,12,26,diff,empty,,
Reinforce organizational structure for riskmanagement and,18,26,diff,empty,,
establish a complete riskmanagement policy,18,12,diff,,,
Define key risk indicators and employ uniform riskquantification,18,12,diff,,,
standards so as to enhance the companys crisis response,5,5,,,,
capability and establish a risk alert mechanism,18,12,diff,,,
Invest in critical technologies explore market opportunities and establish response mechanisms based on market intelligence and politicoeconomic context,4,5,diff,,,
Establish a comprehensive competitive product portfolio to serve,4,26,diff,empty,,
customers and maintain technology leadership,3,8,diff,,,
Deliver values through products to maintain good profit margins,15,0,diff,,,
Community Engagement Community engagement is one of the primary focuses of interest to many of our external stakeholders as we have made relatively little communication on the topic and have focused our support on less,10,10,,,,
Hold Genius for Home MediaTek Digital Social Innovation Competition foster programming education engage in industry university collaborative program and provide longterm support for artistic cultural and educational activities,2,3,diff,,,
Invested over NTD 4983 million in community projects in 2021,10,10,,,,
Accumulated 6347 participants 1556 proposals over 22 cities and counties withGenius for Homeover 4 years wherein participants contributed ideas to make,12,26,diff,empty,,
Strategic issues and their significance for the company,3,26,diff,empty,,
publicly known areas like advanced science tech education and research In response we have increased communication and invited a wider group of people in recent years to join us in creating value for the society,2,4,diff,,,
Establish realtime twoway communication channel transmitting corporate information to employees rapidly and correctly on one hand and listening and responding to employees opinions on the other The result is a sustainable solid labormanagement relationship Provision of multiple innovative communication channels and environment is conducive to enhancement of employee satisfaction In order to foster a positive business environment we have reinforced our external communication to establish corporate reputation enhance brand awareness and trust and create winwin situations with external parties,22,8,diff,,,
Progress and results in 2021,12,26,diff,empty,,
Hold social innovation competition soliciting ideas and proposals,4,3,diff,,,
Encourage implementation of projects track results and enhance,12,26,diff,empty,,
public understanding of MediaTeks effort in joint value creation,3,26,diff,empty,,
Deliver Global Communication Guideline and advocate 5C,12,8,diff,,,
model to ensure effective crossborder crosslanguage team,4,26,diff,empty,,
communication via online and offline channels to boost,2,8,diff,,,
mutual understanding between company and employees plus,0,26,diff,empty,,
holding of periodic employee surveys and making response and,8,9,diff,,,
Implement global communication guidelines jointly and,12,8,diff,,,
disseminate corporate goal and policy effectively while,12,12,,,,
understanding and responding to employees ideas and,10,26,diff,empty,,
suggestions timely via multiplechannel communication,12,8,diff,,,
Conduct periodic employee survey and form task force to draft,8,8,,,,
and implement improvement plan as a response to survey,12,5,diff,,,
result so as to enhance employee satisfaction in addition to,8,6,diff,,,
conducting online and offline communication continuously to,1,8,diff,,,
push attainment of corporate goals,4,26,diff,empty,,
Establish effective twoway communication channels to remove,12,8,diff,,,
barriers for corporate operation and improve external business,3,26,diff,empty,,
their hometowns better in various aspects economy citizen involvement environmental protection healthcare education cultural preservation information technology etc,23,9,diff,,,
Supported 15 teams in carrying,12,26,diff,empty,,
on with their projects over the,2,26,diff,empty,,
resources legal and IP related,12,12,,,,
Survey attended by over 13200,12,26,diff,empty,,
average of the global hitech,24,26,diff,empty,,
Roll out 360 feedback along,1,26,diff,empty,,
Take part in policymaking to enhance business performance,3,8,diff,,,
Based on results of the Perception Survey determine topics of,12,26,diff,empty,,
communication convey corporate brand messages maintain,22,8,diff,,,
media relations proactively participate in public affairs and,12,10,diff,,,
actively handle crises and risks,5,26,diff,empty,,
Strategic issues and their significance for the company,3,26,diff,empty,,
Progress and results in 2021,12,26,diff,empty,,
Increase preference for and trust in the company,4,26,diff,empty,,
Product Accountability and Carbon Abatement,12,0,diff,,,
As a fabless company the,4,26,diff,empty,,
office space is the area where,19,26,diff,empty,,
we have full control Beyond,4,26,diff,empty,,
also work on energy saving of,24,24,,,,
our products in use and in the,15,26,diff,empty,,
Enhance energy efficiency in products,24,24,,,,
Induce supplychain partners to reduce carbon intensity by,17,21,diff,,,
2 a year and increase the proportion of renewable energy,24,24,,,,
Support domestic and international advocacy of environmental,10,9,diff,,,
protection and carbon abatement and encourage suppliers to do,12,6,diff,,,
cf 2020 equivalent to 334834,12,26,diff,empty,,
Reduced 23 size of products,15,26,diff,empty,,
equivalent to 167 tons less,24,26,diff,empty,,
target for 2 consecutive years,12,26,diff,empty,,
Requested ISO 140641 of key,12,26,diff,empty,,
suppliers with a completion rate,17,26,diff,empty,,
Conduct inventory of supplychain greenhousegas emission,25,26,diff,empty,,
kWh of power in 2021 with the,24,26,diff,empty,,
tons of CO2 evaluation of a,25,26,diff,empty,,
second one is scheduled to be,12,26,diff,empty,,
Via assessment of the connection and extent of influence between various stakeholders and MediaTek,12,10,diff,,,
according to the five principles of AA 1000 Stakeholder Engagement Standard SES namely dependency,10,10,,,,
responsibility influence diverse perspective and tension the company has identified six major,10,0,diff,,,
stakeholders as communication targets customer industrygovernmentacademicresearch body,12,8,diff,,,
employees shareholders and investors suppliers and social publicmedia,11,10,diff,,,
Table 1 shows material communication issues and communication status of MediaTek with stakeholders,10,8,diff,,,
Benchmark analysisInformation collected through major sustainability rating institutes like DJSI,18,0,diff,,,
Sustainalytics CSR Hub showed a continuation of trend among international peers see p14 of our,4,26,diff,empty,,
Issue identificationWe used the same 23 issues established based on results of our benchmark,12,26,diff,empty,,
analysis and ESG issues of concern to stakeholders see p12 of our 2018 CSR Report,3,4,diff,,,
Sequence of material issuesThe company has put in order material issues according to frequent,18,26,diff,empty,,
Establishment of material issues Based on results of aforementioned communications and surveys,12,26,diff,empty,,
communications between staffers of various units with customers shareholders and employees and,0,26,diff,empty,,
various working groups of the Sustainability Committee looked into fundamental reasons and planned,3,0,diff,,,
domestic and overseas statistics and surveys in both qualitative and quantitative terms in the four,12,26,diff,empty,,
corresponding improvement measures which were finalized by Sustainability Committee Chair also,12,0,diff,,,
major categories A Material Issue Survey with internal and external stakeholders 2019 2020 B,12,26,diff,empty,,
CEO in a meeting in the first half of the year Via such procedure to respond to stakeholders concern,12,26,diff,empty,,
Global Employee Survey 2016 2019 2021 C Brand survey 2018 2019 D Corporate Perception,3,8,diff,,,
the company makes minor adjustment of material issues annually according to extent of concern and,12,26,diff,empty,,
Survey of industry government academia research institutes and general public 2017 2020 The,12,4,diff,,,
the effect on operation and modify sustainabilityrelated projects accordingly The committee set 11,12,26,diff,empty,,
aforementioned surveys have been undertaken once every two to three years We compared new,12,26,diff,empty,,
material issues for 2020 based on findings for several items with highest extent of concern and impact,12,10,diff,,,
results with their older counterparts to modify our goals and update our priorities,10,26,diff,empty,,
in the 2020 survey on material issues A and three other items with higher priority including public,12,26,diff,empty,,
Communication channel under the companys,22,8,diff,,,
daily operational structure table 1,18,26,diff,empty,,
A1 Questionnaire survey of ranking officials and,7,26,diff,empty,,
indepth interviews 11 ranking officials,0,26,diff,empty,,
A2 Questionnaire surveys on material issues six,12,26,diff,empty,,
A2 Questionnaire surveys on material issues 147,10,26,diff,empty,,
